r_model	r_value	combinations	p_value	p_model
{Bachmann_MSB2011}	1	2_8_08_06	1	{Leber2015}
{Bachmann_MSB2011}	1	2_8_10_14	1	{Leber2015}
{Bachmann_MSB2011}	1	2_8_12_10	1	{Leber2015}
{Bachmann_MSB2011}	1	2_8_16_08	1	{Leber2015}
{Bachmann_MSB2011}	1	2_9_08_06	1	{Leber2015}
{Bachmann_MSB2011}	1	2_9_10_14	1	{Leber2015}
{Bachmann_MSB2011}	1	2_9_12_10	1	{Leber2015}
{Bachmann_MSB2011}	1	2_9_16_08	1	{Leber2015}
{Becker_Science2010}	0	1_1_08_06	1	{Lai2014}
{Becker_Science2010}	0	1_1_10_14	1	{Lai2014}
{Becker_Science2010}	0	1_1_12_10	1	{Lai2014}
{Becker_Science2010}	0	1_1_16_08	1	{Lai2014}
{Becker_Science2010}	1	1_6_08_06	1	{Lai2014}
{Becker_Science2010}	1	1_6_10_14	1	{Lai2014}
{Becker_Science2010}	1	1_6_12_10	1	{Lai2014}
{Becker_Science2010}	1	1_6_16_08	1	{Lai2014}
{Becker_Science2010}	1	1_7_08_06	1	{Lai2014}
{Becker_Science2010}	1	1_7_10_14	1	{Lai2014}
{Becker_Science2010}	1	1_7_12_10	1	{Lai2014}
{Becker_Science2010}	1	1_7_16_08	1	{Lai2014}
{Becker_Science2010}	1	1_8_08_06	1	{Lai2014}
{Becker_Science2010}	1	1_8_10_14	1	{Lai2014}
{Becker_Science2010}	1	1_8_12_10	1	{Lai2014}
{Becker_Science2010}	0	1_8_16_08	1	{Lai2014}
{Becker_Science2010}	1	1_9_08_06	1	{Lai2014}
{Becker_Science2010}	1	1_9_10_14	1	{Lai2014}
{Becker_Science2010}	1	1_9_12_10	1	{Lai2014}
{Becker_Science2010}	1	1_9_16_08	1	{Lai2014}
{Becker_Science2010}	0	2_1_08_06	1	{Lai2014}
{Becker_Science2010}	0	2_1_10_14	1	{Lai2014}
{Becker_Science2010}	0	2_1_12_10	1	{Lai2014}
{Becker_Science2010}	0	2_1_16_08	1	{Lai2014}
{Becker_Science2010}	1	2_6_08_06	1	{Lai2014}
{Becker_Science2010}	1	2_6_10_14	1	{Lai2014}
{Becker_Science2010}	1	2_6_12_10	1	{Lai2014}
{Becker_Science2010}	1	2_6_16_08	1	{Lai2014}
{Becker_Science2010}	1	2_7_08_06	1	{Lai2014}
{Becker_Science2010}	1	2_7_10_14	1	{Lai2014}
{Becker_Science2010}	1	2_7_12_10	1	{Lai2014}
{Becker_Science2010}	1	2_7_16_08	1	{Lai2014}
{Becker_Science2010}	1	2_8_08_06	1	{Lai2014}
{Becker_Science2010}	1	2_8_10_14	1	{Lai2014}
{Becker_Science2010}	1	2_8_12_10	1	{Lai2014}
{Becker_Science2010}	1	2_8_16_08	1	{Lai2014}
{Becker_Science2010}	1	2_9_08_06	1	{Lai2014}
{Becker_Science2010}	1	2_9_10_14	1	{Lai2014}
{Becker_Science2010}	1	2_9_12_10	1	{Lai2014}
{Becker_Science2010}	1	2_9_16_08	1	{Lai2014}
{Becker_Science2010}	1	1_1_08_06	1	{alsheihk2011_fig3-user}
{Becker_Science2010}	1	1_1_10_14	1	{alsheihk2011_fig3-user}
{Becker_Science2010}	1	1_1_12_10	1	{alsheihk2011_fig3-user}
{Becker_Science2010}	1	1_1_16_08	1	{alsheihk2011_fig3-user}
{Becker_Science2010}	1	1_6_08_06	1	{alsheihk2011_fig3-user}
{Becker_Science2010}	1	1_6_10_14	1	{alsheihk2011_fig3-user}
{Becker_Science2010}	1	1_6_12_10	1	{alsheihk2011_fig3-user}
{Becker_Science2010}	1	1_6_16_08	1	{alsheihk2011_fig3-user}
{Becker_Science2010}	1	1_7_08_06	1	{alsheihk2011_fig3-user}
{Becker_Science2010}	1	1_7_10_14	1	{alsheihk2011_fig3-user}
{Becker_Science2010}	1	1_7_12_10	1	{alsheihk2011_fig3-user}
{Becker_Science2010}	1	1_7_16_08	1	{alsheihk2011_fig3-user}
{Becker_Science2010}	1	1_8_08_06	1	{alsheihk2011_fig3-user}
{Becker_Science2010}	1	1_8_10_14	1	{alsheihk2011_fig3-user}
{Becker_Science2010}	1	1_8_12_10	1	{alsheihk2011_fig3-user}
{Becker_Science2010}	1	1_8_16_08	1	{alsheihk2011_fig3-user}
{Becker_Science2010}	1	1_9_08_06	1	{alsheihk2011_fig3-user}
{Becker_Science2010}	1	1_9_10_14	1	{alsheihk2011_fig3-user}
{Becker_Science2010}	1	1_9_12_10	1	{alsheihk2011_fig3-user}
{Becker_Science2010}	1	1_9_16_08	1	{alsheihk2011_fig3-user}
{Becker_Science2010}	1	2_1_08_06	1	{alsheihk2011_fig3-user}
{Becker_Science2010}	1	2_1_10_14	1	{alsheihk2011_fig3-user}
{Becker_Science2010}	1	2_1_12_10	1	{alsheihk2011_fig3-user}
{Becker_Science2010}	1	2_1_16_08	1	{alsheihk2011_fig3-user}
{Becker_Science2010}	1	2_6_08_06	1	{alsheihk2011_fig3-user}
{Becker_Science2010}	1	2_6_10_14	1	{alsheihk2011_fig3-user}
{Becker_Science2010}	1	2_6_12_10	1	{alsheihk2011_fig3-user}
{Becker_Science2010}	1	2_6_16_08	1	{alsheihk2011_fig3-user}
{Becker_Science2010}	1	2_7_08_06	1	{alsheihk2011_fig3-user}
{Becker_Science2010}	1	2_7_10_14	1	{alsheihk2011_fig3-user}
{Becker_Science2010}	1	2_7_12_10	1	{alsheihk2011_fig3-user}
{Becker_Science2010}	1	2_7_16_08	1	{alsheihk2011_fig3-user}
{Becker_Science2010}	1	2_8_08_06	1	{alsheihk2011_fig3-user}
{Becker_Science2010}	1	2_8_10_14	1	{alsheihk2011_fig3-user}
{Becker_Science2010}	1	2_8_12_10	1	{alsheihk2011_fig3-user}
{Becker_Science2010}	1	2_8_16_08	1	{alsheihk2011_fig3-user}
{Becker_Science2010}	1	2_9_08_06	1	{alsheihk2011_fig3-user}
{Becker_Science2010}	1	2_9_10_14	1	{alsheihk2011_fig3-user}
{Becker_Science2010}	1	2_9_12_10	1	{alsheihk2011_fig3-user}
{Becker_Science2010}	1	2_9_16_08	1	{alsheihk2011_fig3-user}
{Beer_MolBioSystems2014}	0	1_1_08_06	1	{Eungdamrong2007}
{Beer_MolBioSystems2014}	0	1_1_10_14	1	{Eungdamrong2007}
{Beer_MolBioSystems2014}	0	1_1_12_10	1	{Eungdamrong2007}
{Beer_MolBioSystems2014}	0	1_1_16_08	1	{Eungdamrong2007}
{Beer_MolBioSystems2014}	1	1_6_08_06	1	{Eungdamrong2007}
{Beer_MolBioSystems2014}	0	1_6_10_14	1	{Eungdamrong2007}
{Beer_MolBioSystems2014}	0	1_6_12_10	1	{Eungdamrong2007}
{Beer_MolBioSystems2014}	1	1_6_16_08	1	{Eungdamrong2007}
{Beer_MolBioSystems2014}	1	1_7_08_06	1	{Eungdamrong2007}
{Beer_MolBioSystems2014}	0	1_7_10_14	1	{Eungdamrong2007}
{Beer_MolBioSystems2014}	0	1_7_12_10	1	{Eungdamrong2007}
{Beer_MolBioSystems2014}	1	1_7_16_08	1	{Eungdamrong2007}
{Beer_MolBioSystems2014}	1	1_8_08_06	1	{Eungdamrong2007}
{Beer_MolBioSystems2014}	0	1_8_10_14	1	{Eungdamrong2007}
{Beer_MolBioSystems2014}	0	1_8_12_10	1	{Eungdamrong2007}
{Beer_MolBioSystems2014}	1	1_8_16_08	1	{Eungdamrong2007}
{Beer_MolBioSystems2014}	1	1_9_08_06	1	{Eungdamrong2007}
{Beer_MolBioSystems2014}	0	1_9_10_14	1	{Eungdamrong2007}
{Beer_MolBioSystems2014}	0	1_9_12_10	1	{Eungdamrong2007}
{Beer_MolBioSystems2014}	1	1_9_16_08	1	{Eungdamrong2007}
{Beer_MolBioSystems2014}	0	2_1_08_06	1	{Eungdamrong2007}
{Beer_MolBioSystems2014}	0	2_1_10_14	1	{Eungdamrong2007}
{Beer_MolBioSystems2014}	0	2_1_12_10	1	{Eungdamrong2007}
{Beer_MolBioSystems2014}	0	2_1_16_08	1	{Eungdamrong2007}
{Beer_MolBioSystems2014}	1	2_6_08_06	1	{Eungdamrong2007}
{Beer_MolBioSystems2014}	1	2_6_10_14	1	{Eungdamrong2007}
{Beer_MolBioSystems2014}	1	2_6_12_10	1	{Eungdamrong2007}
{Beer_MolBioSystems2014}	1	2_6_16_08	1	{Eungdamrong2007}
{Beer_MolBioSystems2014}	1	2_7_08_06	1	{Eungdamrong2007}
{Beer_MolBioSystems2014}	1	2_7_10_14	1	{Eungdamrong2007}
{Beer_MolBioSystems2014}	1	2_7_12_10	1	{Eungdamrong2007}
{Beer_MolBioSystems2014}	1	2_7_16_08	1	{Eungdamrong2007}
{Beer_MolBioSystems2014}	1	2_8_08_06	1	{Eungdamrong2007}
{Beer_MolBioSystems2014}	1	2_8_10_14	1	{Eungdamrong2007}
{Beer_MolBioSystems2014}	1	2_8_12_10	1	{Eungdamrong2007}
{Beer_MolBioSystems2014}	1	2_8_16_08	1	{Eungdamrong2007}
{Beer_MolBioSystems2014}	1	2_9_08_06	1	{Eungdamrong2007}
{Beer_MolBioSystems2014}	1	2_9_10_14	1	{Eungdamrong2007}
{Beer_MolBioSystems2014}	1	2_9_12_10	1	{Eungdamrong2007}
{Beer_MolBioSystems2014}	1	2_9_16_08	1	{Eungdamrong2007}
{Blasi_CellSystems2016}	0	1_1_08_06	1	{Leber2015}
{Blasi_CellSystems2016}	0	1_1_10_14	1	{Leber2015}
{Blasi_CellSystems2016}	0	1_1_12_10	1	{Leber2015}
{Blasi_CellSystems2016}	0	1_1_16_08	1	{Leber2015}
{Blasi_CellSystems2016}	1	1_6_08_06	1	{Leber2015}
{Blasi_CellSystems2016}	0	1_6_10_14	1	{Leber2015}
{Blasi_CellSystems2016}	1	1_6_12_10	1	{Leber2015}
{Blasi_CellSystems2016}	0	1_6_16_08	1	{Leber2015}
{Blasi_CellSystems2016}	1	1_7_08_06	1	{Leber2015}
{Blasi_CellSystems2016}	1	1_7_10_14	1	{Leber2015}
{Blasi_CellSystems2016}	1	1_7_12_10	1	{Leber2015}
{Blasi_CellSystems2016}	1	1_7_16_08	1	{Leber2015}
{Blasi_CellSystems2016}	1	1_8_08_06	1	{Leber2015}
{Blasi_CellSystems2016}	0	1_8_10_14	1	{Leber2015}
{Blasi_CellSystems2016}	0	1_8_12_10	1	{Leber2015}
{Blasi_CellSystems2016}	1	1_8_16_08	1	{Leber2015}
{Blasi_CellSystems2016}	1	1_9_08_06	1	{Leber2015}
{Blasi_CellSystems2016}	1	1_9_10_14	1	{Leber2015}
{Blasi_CellSystems2016}	1	1_9_12_10	1	{Leber2015}
{Blasi_CellSystems2016}	1	1_9_16_08	1	{Leber2015}
{Blasi_CellSystems2016}	0	2_1_08_06	1	{Leber2015}
{Blasi_CellSystems2016}	0	2_1_10_14	1	{Leber2015}
{Blasi_CellSystems2016}	0	2_1_12_10	1	{Leber2015}
{Blasi_CellSystems2016}	0	2_1_16_08	1	{Leber2015}
{Blasi_CellSystems2016}	1	2_6_08_06	1	{Leber2015}
{Blasi_CellSystems2016}	1	2_6_10_14	1	{Leber2015}
{Blasi_CellSystems2016}	1	2_6_12_10	1	{Leber2015}
{Blasi_CellSystems2016}	1	2_6_16_08	1	{Leber2015}
{Blasi_CellSystems2016}	1	2_7_08_06	1	{Leber2015}
{Blasi_CellSystems2016}	1	2_7_10_14	1	{Leber2015}
{Blasi_CellSystems2016}	1	2_7_12_10	1	{Leber2015}
{Blasi_CellSystems2016}	1	2_7_16_08	1	{Leber2015}
{Blasi_CellSystems2016}	1	2_8_08_06	1	{Leber2015}
{Blasi_CellSystems2016}	1	2_8_10_14	1	{Leber2015}
{Blasi_CellSystems2016}	1	2_8_12_10	1	{Leber2015}
{Blasi_CellSystems2016}	1	2_8_16_08	1	{Leber2015}
{Blasi_CellSystems2016}	1	2_9_08_06	1	{Leber2015}
{Blasi_CellSystems2016}	1	2_9_10_14	1	{Leber2015}
{Blasi_CellSystems2016}	1	2_9_12_10	1	{Leber2015}
{Blasi_CellSystems2016}	1	2_9_16_08	1	{Leber2015}
{Blasi_CellSystems2016}	0	1_1_08_06	1	{Leber2015}
{Blasi_CellSystems2016}	0	1_1_10_14	1	{Leber2015}
{Blasi_CellSystems2016}	0	1_1_12_10	1	{Leber2015}
{Blasi_CellSystems2016}	0	1_1_16_08	1	{Leber2015}
{Blasi_CellSystems2016}	1	1_6_08_06	1	{Leber2015}
{Blasi_CellSystems2016}	0	1_6_10_14	1	{Leber2015}
{Blasi_CellSystems2016}	1	1_6_12_10	1	{Leber2015}
{Blasi_CellSystems2016}	0	1_6_16_08	1	{Leber2015}
{Blasi_CellSystems2016}	1	1_7_08_06	1	{Leber2015}
{Blasi_CellSystems2016}	1	1_7_10_14	1	{Leber2015}
{Blasi_CellSystems2016}	1	1_7_12_10	1	{Leber2015}
{Blasi_CellSystems2016}	1	1_7_16_08	1	{Leber2015}
{Blasi_CellSystems2016}	1	1_8_08_06	1	{Leber2015}
{Blasi_CellSystems2016}	0	1_8_10_14	1	{Leber2015}
{Blasi_CellSystems2016}	0	1_8_12_10	1	{Leber2015}
{Blasi_CellSystems2016}	1	1_8_16_08	1	{Leber2015}
{Blasi_CellSystems2016}	1	1_9_08_06	1	{Leber2015}
{Blasi_CellSystems2016}	1	1_9_10_14	1	{Leber2015}
{Blasi_CellSystems2016}	1	1_9_12_10	1	{Leber2015}
{Blasi_CellSystems2016}	1	1_9_16_08	1	{Leber2015}
{Blasi_CellSystems2016}	0	2_1_08_06	1	{Leber2015}
{Blasi_CellSystems2016}	0	2_1_10_14	1	{Leber2015}
{Blasi_CellSystems2016}	0	2_1_12_10	1	{Leber2015}
{Blasi_CellSystems2016}	0	2_1_16_08	1	{Leber2015}
{Blasi_CellSystems2016}	1	2_6_08_06	1	{Leber2015}
{Blasi_CellSystems2016}	1	2_6_10_14	1	{Leber2015}
{Blasi_CellSystems2016}	1	2_6_12_10	1	{Leber2015}
{Blasi_CellSystems2016}	1	2_6_16_08	1	{Leber2015}
{Blasi_CellSystems2016}	1	2_7_08_06	1	{Leber2015}
{Blasi_CellSystems2016}	1	2_7_10_14	1	{Leber2015}
{Blasi_CellSystems2016}	1	2_7_12_10	1	{Leber2015}
{Blasi_CellSystems2016}	1	2_7_16_08	1	{Leber2015}
{Blasi_CellSystems2016}	1	2_8_08_06	1	{Leber2015}
{Blasi_CellSystems2016}	1	2_8_10_14	1	{Leber2015}
{Blasi_CellSystems2016}	1	2_8_12_10	1	{Leber2015}
{Blasi_CellSystems2016}	1	2_8_16_08	1	{Leber2015}
{Blasi_CellSystems2016}	1	2_9_08_06	1	{Leber2015}
{Blasi_CellSystems2016}	1	2_9_10_14	1	{Leber2015}
{Blasi_CellSystems2016}	1	2_9_12_10	1	{Leber2015}
{Blasi_CellSystems2016}	1	2_9_16_08	1	{Leber2015}
{Boehm_JProteomeRes2014}	0	1_1_08_06	1	{alexander2010_fig2-user}
{Boehm_JProteomeRes2014}	0	1_1_10_14	1	{alexander2010_fig2-user}
{Boehm_JProteomeRes2014}	0	1_1_12_10	1	{alexander2010_fig2-user}
{Boehm_JProteomeRes2014}	0	1_1_16_08	1	{alexander2010_fig2-user}
{Boehm_JProteomeRes2014}	1	1_6_08_06	1	{alexander2010_fig2-user}
{Boehm_JProteomeRes2014}	1	1_6_10_14	1	{alexander2010_fig2-user}
{Boehm_JProteomeRes2014}	1	1_6_12_10	1	{alexander2010_fig2-user}
{Boehm_JProteomeRes2014}	1	1_6_16_08	1	{alexander2010_fig2-user}
{Boehm_JProteomeRes2014}	1	1_7_08_06	1	{alexander2010_fig2-user}
{Boehm_JProteomeRes2014}	1	1_7_10_14	1	{alexander2010_fig2-user}
{Boehm_JProteomeRes2014}	1	1_7_12_10	1	{alexander2010_fig2-user}
{Boehm_JProteomeRes2014}	1	1_7_16_08	1	{alexander2010_fig2-user}
{Boehm_JProteomeRes2014}	1	1_8_08_06	1	{alexander2010_fig2-user}
{Boehm_JProteomeRes2014}	1	1_8_10_14	1	{alexander2010_fig2-user}
{Boehm_JProteomeRes2014}	1	1_8_12_10	1	{alexander2010_fig2-user}
{Boehm_JProteomeRes2014}	1	1_8_16_08	1	{alexander2010_fig2-user}
{Boehm_JProteomeRes2014}	1	1_9_08_06	1	{alexander2010_fig2-user}
{Boehm_JProteomeRes2014}	1	1_9_10_14	1	{alexander2010_fig2-user}
{Boehm_JProteomeRes2014}	1	1_9_12_10	1	{alexander2010_fig2-user}
{Boehm_JProteomeRes2014}	1	1_9_16_08	1	{alexander2010_fig2-user}
{Boehm_JProteomeRes2014}	0	2_1_08_06	1	{alexander2010_fig2-user}
{Boehm_JProteomeRes2014}	0	2_1_10_14	1	{alexander2010_fig2-user}
{Boehm_JProteomeRes2014}	0	2_1_12_10	1	{alexander2010_fig2-user}
{Boehm_JProteomeRes2014}	0	2_1_16_08	1	{alexander2010_fig2-user}
{Boehm_JProteomeRes2014}	1	2_6_08_06	1	{alexander2010_fig2-user}
{Boehm_JProteomeRes2014}	1	2_6_10_14	1	{alexander2010_fig2-user}
{Boehm_JProteomeRes2014}	1	2_6_12_10	1	{alexander2010_fig2-user}
{Boehm_JProteomeRes2014}	1	2_6_16_08	1	{alexander2010_fig2-user}
{Boehm_JProteomeRes2014}	1	2_7_08_06	1	{alexander2010_fig2-user}
{Boehm_JProteomeRes2014}	1	2_7_10_14	1	{alexander2010_fig2-user}
{Boehm_JProteomeRes2014}	1	2_7_12_10	1	{alexander2010_fig2-user}
{Boehm_JProteomeRes2014}	1	2_7_16_08	1	{alexander2010_fig2-user}
{Boehm_JProteomeRes2014}	1	2_8_08_06	1	{alexander2010_fig2-user}
{Boehm_JProteomeRes2014}	1	2_8_10_14	1	{alexander2010_fig2-user}
{Boehm_JProteomeRes2014}	1	2_8_12_10	1	{alexander2010_fig2-user}
{Boehm_JProteomeRes2014}	1	2_8_16_08	1	{alexander2010_fig2-user}
{Boehm_JProteomeRes2014}	1	2_9_08_06	1	{alexander2010_fig2-user}
{Boehm_JProteomeRes2014}	1	2_9_10_14	1	{alexander2010_fig2-user}
{Boehm_JProteomeRes2014}	1	2_9_12_10	1	{alexander2010_fig2-user}
{Boehm_JProteomeRes2014}	1	2_9_16_08	1	{alexander2010_fig2-user}
{Borghans_BiophysChem1997}	0	1_1_08_06	1	{Lai2014}
{Borghans_BiophysChem1997}	0	1_1_10_14	1	{Lai2014}
{Borghans_BiophysChem1997}	0	1_1_12_10	1	{Lai2014}
{Borghans_BiophysChem1997}	0	1_1_16_08	1	{Lai2014}
{Borghans_BiophysChem1997}	1	1_6_08_06	1	{Lai2014}
{Borghans_BiophysChem1997}	1	1_6_10_14	1	{Lai2014}
{Borghans_BiophysChem1997}	1	1_6_12_10	1	{Lai2014}
{Borghans_BiophysChem1997}	1	1_6_16_08	1	{Lai2014}
{Borghans_BiophysChem1997}	1	1_7_08_06	1	{Lai2014}
{Borghans_BiophysChem1997}	1	1_7_10_14	1	{Lai2014}
{Borghans_BiophysChem1997}	1	1_7_12_10	1	{Lai2014}
{Borghans_BiophysChem1997}	1	1_7_16_08	1	{Lai2014}
{Borghans_BiophysChem1997}	1	1_8_08_06	1	{Lai2014}
{Borghans_BiophysChem1997}	1	1_8_10_14	1	{Lai2014}
{Borghans_BiophysChem1997}	1	1_8_12_10	1	{Lai2014}
{Borghans_BiophysChem1997}	0	1_8_16_08	1	{Lai2014}
{Borghans_BiophysChem1997}	1	1_9_08_06	1	{Lai2014}
{Borghans_BiophysChem1997}	1	1_9_10_14	1	{Lai2014}
{Borghans_BiophysChem1997}	1	1_9_12_10	1	{Lai2014}
{Borghans_BiophysChem1997}	1	1_9_16_08	1	{Lai2014}
{Borghans_BiophysChem1997}	0	2_1_08_06	1	{Lai2014}
{Borghans_BiophysChem1997}	0	2_1_10_14	1	{Lai2014}
{Borghans_BiophysChem1997}	0	2_1_12_10	1	{Lai2014}
{Borghans_BiophysChem1997}	0	2_1_16_08	1	{Lai2014}
{Borghans_BiophysChem1997}	1	2_6_08_06	1	{Lai2014}
{Borghans_BiophysChem1997}	1	2_6_10_14	1	{Lai2014}
{Borghans_BiophysChem1997}	1	2_6_12_10	1	{Lai2014}
{Borghans_BiophysChem1997}	1	2_6_16_08	1	{Lai2014}
{Borghans_BiophysChem1997}	1	2_7_08_06	1	{Lai2014}
{Borghans_BiophysChem1997}	1	2_7_10_14	1	{Lai2014}
{Borghans_BiophysChem1997}	1	2_7_12_10	1	{Lai2014}
{Borghans_BiophysChem1997}	1	2_7_16_08	1	{Lai2014}
{Borghans_BiophysChem1997}	1	2_8_08_06	1	{Lai2014}
{Borghans_BiophysChem1997}	1	2_8_10_14	1	{Lai2014}
{Borghans_BiophysChem1997}	1	2_8_12_10	1	{Lai2014}
{Borghans_BiophysChem1997}	1	2_8_16_08	1	{Lai2014}
{Borghans_BiophysChem1997}	1	2_9_08_06	1	{Lai2014}
{Borghans_BiophysChem1997}	1	2_9_10_14	1	{Lai2014}
{Borghans_BiophysChem1997}	1	2_9_12_10	1	{Lai2014}
{Borghans_BiophysChem1997}	1	2_9_16_08	1	{Lai2014}
{Brannmark_JBC2010}	0	1_1_08_06	1	{alexander2010_fig2-user}
{Brannmark_JBC2010}	0	1_1_10_14	1	{alexander2010_fig2-user}
{Brannmark_JBC2010}	0	1_1_12_10	1	{alexander2010_fig2-user}
{Brannmark_JBC2010}	0	1_1_16_08	1	{alexander2010_fig2-user}
{Brannmark_JBC2010}	1	1_6_08_06	1	{alexander2010_fig2-user}
{Brannmark_JBC2010}	1	1_6_10_14	1	{alexander2010_fig2-user}
{Brannmark_JBC2010}	1	1_6_12_10	1	{alexander2010_fig2-user}
{Brannmark_JBC2010}	1	1_6_16_08	1	{alexander2010_fig2-user}
{Brannmark_JBC2010}	1	1_7_08_06	1	{alexander2010_fig2-user}
{Brannmark_JBC2010}	1	1_7_10_14	1	{alexander2010_fig2-user}
{Brannmark_JBC2010}	1	1_7_12_10	1	{alexander2010_fig2-user}
{Brannmark_JBC2010}	1	1_7_16_08	1	{alexander2010_fig2-user}
{Brannmark_JBC2010}	1	1_8_08_06	1	{alexander2010_fig2-user}
{Brannmark_JBC2010}	1	1_8_10_14	1	{alexander2010_fig2-user}
{Brannmark_JBC2010}	1	1_8_12_10	1	{alexander2010_fig2-user}
{Brannmark_JBC2010}	1	1_8_16_08	1	{alexander2010_fig2-user}
{Brannmark_JBC2010}	1	1_9_08_06	1	{alexander2010_fig2-user}
{Brannmark_JBC2010}	1	1_9_10_14	1	{alexander2010_fig2-user}
{Brannmark_JBC2010}	1	1_9_12_10	1	{alexander2010_fig2-user}
{Brannmark_JBC2010}	1	1_9_16_08	1	{alexander2010_fig2-user}
{Brannmark_JBC2010}	0	2_1_08_06	1	{alexander2010_fig2-user}
{Brannmark_JBC2010}	0	2_1_10_14	1	{alexander2010_fig2-user}
{Brannmark_JBC2010}	0	2_1_12_10	1	{alexander2010_fig2-user}
{Brannmark_JBC2010}	0	2_1_16_08	1	{alexander2010_fig2-user}
{Brannmark_JBC2010}	1	2_6_08_06	1	{alexander2010_fig2-user}
{Brannmark_JBC2010}	1	2_6_10_14	1	{alexander2010_fig2-user}
{Brannmark_JBC2010}	1	2_6_12_10	1	{alexander2010_fig2-user}
{Brannmark_JBC2010}	1	2_6_16_08	1	{alexander2010_fig2-user}
{Brannmark_JBC2010}	1	2_7_08_06	1	{alexander2010_fig2-user}
{Brannmark_JBC2010}	1	2_7_10_14	1	{alexander2010_fig2-user}
{Brannmark_JBC2010}	1	2_7_12_10	1	{alexander2010_fig2-user}
{Brannmark_JBC2010}	1	2_7_16_08	1	{alexander2010_fig2-user}
{Brannmark_JBC2010}	1	2_8_08_06	1	{alexander2010_fig2-user}
{Brannmark_JBC2010}	1	2_8_10_14	1	{alexander2010_fig2-user}
{Brannmark_JBC2010}	1	2_8_12_10	1	{alexander2010_fig2-user}
{Brannmark_JBC2010}	1	2_8_16_08	1	{alexander2010_fig2-user}
{Brannmark_JBC2010}	1	2_9_08_06	1	{alexander2010_fig2-user}
{Brannmark_JBC2010}	1	2_9_10_14	1	{alexander2010_fig2-user}
{Brannmark_JBC2010}	1	2_9_12_10	1	{alexander2010_fig2-user}
{Brannmark_JBC2010}	1	2_9_16_08	1	{alexander2010_fig2-user}
{Bruno_JExpBio2016}	0	1_1_08_06	1	{Leber2015}
{Bruno_JExpBio2016}	0	1_1_10_14	1	{Leber2015}
{Bruno_JExpBio2016}	0	1_1_12_10	1	{Leber2015}
{Bruno_JExpBio2016}	0	1_1_16_08	1	{Leber2015}
{Bruno_JExpBio2016}	1	1_6_08_06	1	{Leber2015}
{Bruno_JExpBio2016}	0	1_6_10_14	1	{Leber2015}
{Bruno_JExpBio2016}	1	1_6_12_10	1	{Leber2015}
{Bruno_JExpBio2016}	0	1_6_16_08	1	{Leber2015}
{Bruno_JExpBio2016}	1	1_7_08_06	1	{Leber2015}
{Bruno_JExpBio2016}	1	1_7_10_14	1	{Leber2015}
{Bruno_JExpBio2016}	1	1_7_12_10	1	{Leber2015}
{Bruno_JExpBio2016}	1	1_7_16_08	1	{Leber2015}
{Bruno_JExpBio2016}	1	1_8_08_06	1	{Leber2015}
{Bruno_JExpBio2016}	0	1_8_10_14	1	{Leber2015}
{Bruno_JExpBio2016}	0	1_8_12_10	1	{Leber2015}
{Bruno_JExpBio2016}	1	1_8_16_08	1	{Leber2015}
{Bruno_JExpBio2016}	1	1_9_08_06	1	{Leber2015}
{Bruno_JExpBio2016}	1	1_9_10_14	1	{Leber2015}
