r_model	r_value	combinations	p_value	p_model
{Bachmann_MSB2011}	0	1_1_08_06	1	{Leber2015}
{Bachmann_MSB2011}	0	1_1_10_14	1	{Leber2015}
{Bachmann_MSB2011}	0	1_1_12_10	1	{Leber2015}
{Bachmann_MSB2011}	0	1_1_16_08	1	{Leber2015}
{Bachmann_MSB2011}	1	1_6_08_06	1	{Leber2015}
{Bachmann_MSB2011}	0	1_6_10_14	1	{Leber2015}
{Bachmann_MSB2011}	1	1_6_12_10	1	{Leber2015}
{Bachmann_MSB2011}	0	1_6_16_08	1	{Leber2015}
{Bachmann_MSB2011}	1	1_7_08_06	1	{Leber2015}
{Bachmann_MSB2011}	1	1_7_10_14	1	{Leber2015}
{Bachmann_MSB2011}	1	1_7_12_10	1	{Leber2015}
{Bachmann_MSB2011}	1	1_7_16_08	1	{Leber2015}
{Bachmann_MSB2011}	1	1_8_08_06	1	{Leber2015}
{Bachmann_MSB2011}	0	1_8_10_14	1	{Leber2015}
{Bachmann_MSB2011}	0	1_8_12_10	1	{Leber2015}
{Bachmann_MSB2011}	1	1_8_16_08	1	{Leber2015}
{Bachmann_MSB2011}	1	1_9_08_06	1	{Leber2015}
{Bachmann_MSB2011}	1	1_9_10_14	1	{Leber2015}
{Bachmann_MSB2011}	1	1_9_12_10	1	{Leber2015}
{Bachmann_MSB2011}	1	1_9_16_08	1	{Leber2015}
{Bachmann_MSB2011}	0	2_1_08_06	1	{Leber2015}
{Bachmann_MSB2011}	0	2_1_10_14	1	{Leber2015}
{Bachmann_MSB2011}	0	2_1_12_10	1	{Leber2015}
{Bachmann_MSB2011}	0	2_1_16_08	1	{Leber2015}
{Bachmann_MSB2011}	1	2_6_08_06	1	{Leber2015}
{Bachmann_MSB2011}	1	2_6_10_14	1	{Leber2015}
{Bachmann_MSB2011}	1	2_6_12_10	1	{Leber2015}
{Bachmann_MSB2011}	1	2_6_16_08	1	{Leber2015}
{Bachmann_MSB2011}	1	2_7_08_06	1	{Leber2015}
{Bachmann_MSB2011}	1	2_7_10_14	1	{Leber2015}
{Bachmann_MSB2011}	1	2_7_12_10	1	{Leber2015}
{Bachmann_MSB2011}	1	2_7_16_08	1	{Leber2015}
