parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	priorType	priorParameters	HierarchicalOptimization (optional)
KaldDHAP	KaldDHAP	log10	-5	5	-0.7670165885	1			
KaldF6P	KaldF6P	log10	-5	5	0	0			
KaldGAP	KaldGAP	log10	-5	5	-1.2819660731	1			
KbisP	KbisP	log10	-5	5	-3.3906788447	1			
Kgap	Kgap	log10	-5	5	-0.0769322225	1			
KiADP	KiADP	log10	-5	5	0.0575672165	1			
Knadp	Knadp	log10	-5	5	-0.5670098763	1			
Knadph	Knadph	log10	-5	5	-1.1335631948	1			
KpgkADP	KpgkADP	log10	-5	5	-1.0715790536	1			
KpgkATP	KpgkATP	log10	-5	5	0.9860565746	1			
KpgkP3G	KpgkP3G	log10	-5	5	-0.2664384336	1			
KpgkbisP	KpgkbisP	log10	-5	5	0.7474118079	1			
Kpi	Kpi	log10	-5	5	2.6112165125	1			
KtimDHAP	KtimDHAP	log10	-5	5	-0.090644049	1			
KtimGAP	KtimGAP	log10	-5	5	-0.6106460574	1			
KtimP3G	KtimP3G	log10	-5	5	-0.3981333127	1			
KtimPEP	KtimPEP	log10	-5	5	-0.1801146853	1			
Vmarev	Vmarev	log10	-5	5	1.3811873066	0			
VmfALD	VmfALD	log10	-5	5	0.4217618234	1			
VmfPGK	VmfPGK	log10	-5	5	1.2386005414	1			
VmfTIM	VmfTIM	log10	-5	5	2.3799125616	1			
Vmfor	Vmfor	log10	-5	5	1.3149747337	1			
VmrPGK	VmrPGK	log10	-5	5	1.4776999283	1			
VmrTIM	VmrTIM	log10	-5	5	2.3791495427	1			
kGDH	kGDH	log10	-5	5	1	0			
kPK	kPK	log10	-5	5	1	0			
kdbpg	kdbpg	log10	-5	5	0.0245841732	0			
kddhap	kddhap	log10	-5	5	-1.6478174819	0			
kdgap	kdgap	log10	-5	5	-1.2525881921	0			
n	n	log10	-5	5	0.1942811756	1			
pie	pie	log10	-5	5	0	0			
protALDPase	protALDPase	log10	-5	5	-2.4436974992	0			
protGAPDH	protGAPDH	log10	-5	5	-1.3757179042	0			
protPGK	protPGK	log10	-5	5	-2.468521083	0			
protTIM	protTIM	log10	-5	5	-3.0705810743	0			
sigma_DHAP	sigma_DHAP	log10	-5	5	4	1			
sigma_F6P	sigma_F6P	log10	-5	5	4	1			
sigma_GAP	sigma_GAP	log10	-5	5	4	1			
sigma_3PG	sigma_3PG	log10	-5	5	4	1			
