observableId	preequilibrationConditionId	simulationConditionId	measurment	time	observableParameters	noiseParameters	observableTransformation	noiseDistribution
ppERK (Epo = 50)			0.0115	0	NaN			
ppERK (Epo = 50)			0.1535	5	NaN			
ppERK (Epo = 50)			0.114	10	NaN			
ppERK (Epo = 50)			0.0882	15	NaN			
ppERK (Epo = 50)			0.0473	20	NaN			
ppERK (Epo = 50)			0.0353	40	NaN			
ppERK (Epo = 50)			0.0402	60	NaN			
ppERK (Epo = 50)				0	NaN			
ppERK (Epo = 50)				5	NaN			
ppERK (Epo = 50)				10	NaN			
ppERK (Epo = 50)				15	NaN			
ppERK (Epo = 50)				20	NaN			
ppERK (Epo = 50)				40	NaN			
ppERK (Epo = 50)				60	NaN			
ppERK (Epo = 10)			0.0115	0	NaN			
ppERK (Epo = 10)			0.1691	5	NaN			
ppERK (Epo = 10)			0.1416	10	NaN			
ppERK (Epo = 10)			0.0946	15	NaN			
ppERK (Epo = 10)			0.0492	20	NaN			
ppERK (Epo = 10)			0.0356	40	NaN			
ppERK (Epo = 10)			0.0305	60	NaN			
ppERK (Epo = 10)				0	NaN			
ppERK (Epo = 10)				5	NaN			
ppERK (Epo = 10)				10	NaN			
ppERK (Epo = 10)				15	NaN			
ppERK (Epo = 10)				20	NaN			
ppERK (Epo = 10)				40	NaN			
ppERK (Epo = 10)				60	NaN			
ppERK (Epo = 5)			0.0057	0	NaN			
ppERK (Epo = 5)			0.1162	5	NaN			
ppERK (Epo = 5)			0.1157	10	NaN			
ppERK (Epo = 5)			0.0762	15	NaN			
ppERK (Epo = 5)			0.0611	20	NaN			
ppERK (Epo = 5)			0.0265	40	NaN			
ppERK (Epo = 5)			0.0263	60	NaN			
ppERK (Epo = 5)			0.0115	0	NaN			
ppERK (Epo = 5)			0.1265	5	NaN			
ppERK (Epo = 5)			0.1336	10	NaN			
ppERK (Epo = 5)			0.0934	15	NaN			
ppERK (Epo = 5)			0.0733	20	NaN			
ppERK (Epo = 5)			0.0377	40	NaN			
ppERK (Epo = 5)			0.0267	60	NaN			
ppERK (Epo = 2.5)			0.0057	0	NaN			
ppERK (Epo = 2.5)			0.0455	5	NaN			
ppERK (Epo = 2.5)			0.1137	10	NaN			
ppERK (Epo = 2.5)			0.0708	15	NaN			
ppERK (Epo = 2.5)			0.0426	20	NaN			
ppERK (Epo = 2.5)			0.0346	40	NaN			
ppERK (Epo = 2.5)			0.0129	60	NaN			
ppERK (Epo = 2.5)				0	NaN			
ppERK (Epo = 2.5)				5	NaN			
ppERK (Epo = 2.5)				10	NaN			
ppERK (Epo = 2.5)				15	NaN			
ppERK (Epo = 2.5)				20	NaN			
ppERK (Epo = 2.5)				40	NaN			
ppERK (Epo = 2.5)				60	NaN			
ppERK (Epo = 0.5)			0.0057	0	NaN			
ppERK (Epo = 0.5)			0.0029	5	NaN			
ppERK (Epo = 0.5)			0.0141	10	NaN			
ppERK (Epo = 0.5)			0.0123	15	NaN			
ppERK (Epo = 0.5)			0.0153	20	NaN			
ppERK (Epo = 0.5)			0.0175	40	NaN			
ppERK (Epo = 0.5)			0.0072	60	NaN			
ppERK (Epo = 0.5)				0	NaN			
ppERK (Epo = 0.5)				5	NaN			
ppERK (Epo = 0.5)				10	NaN			
ppERK (Epo = 0.5)				15	NaN			
ppERK (Epo = 0.5)				20	NaN			
ppERK (Epo = 0.5)				40	NaN			
ppERK (Epo = 0.5)				60	NaN			
