observableId	preequilibrationConditionId	simulationConditionId	measurment	time	observableParameters	noiseParameters	observableTransformation	noiseDistribution
ppERK (Epo = 50)			0.023	0	NaN			
ppERK (Epo = 50)			0.1341	5	NaN			
ppERK (Epo = 50)			0.12919999999999998	10	NaN			
ppERK (Epo = 50)			0.0722	15	NaN			
ppERK (Epo = 50)			0.0877	20	NaN			
ppERK (Epo = 50)			0.063	40	NaN			
ppERK (Epo = 50)			0.0479	60	NaN			
ppERK (Epo = 10)			0.023100000000000002	0	NaN			
ppERK (Epo = 10)			0.0829	5	NaN			
ppERK (Epo = 10)			0.15230000000000002	10	NaN			
ppERK (Epo = 10)			0.136	15	NaN			
ppERK (Epo = 10)			0.0732	20	NaN			
ppERK (Epo = 10)			0.060700000000000004	40	NaN			
ppERK (Epo = 10)			0.0257	60	NaN			
ppERK (Epo = 5)			0.0223	0	NaN			
ppERK (Epo = 5)			0.0476	5	NaN			
ppERK (Epo = 5)			0.1336	10	NaN			
ppERK (Epo = 5)			0.1055	15	NaN			
ppERK (Epo = 5)			0.0747	20	NaN			
ppERK (Epo = 5)			0.0659	40	NaN			
ppERK (Epo = 5)			0.045700000000000005	60	NaN			
ppERK (Epo = 2.5)			0.0074	0	NaN			
ppERK (Epo = 2.5)			0.0158	5	NaN			
ppERK (Epo = 2.5)			0.0575	10	NaN			
ppERK (Epo = 2.5)			0.0485	15	NaN			
ppERK (Epo = 2.5)			0.032600000000000004	20	NaN			
ppERK (Epo = 2.5)			0.0235	40	NaN			
ppERK (Epo = 2.5)			0.0088	60	NaN			
ppERK (Epo = 1)			0.0074	0	NaN			
ppERK (Epo = 1)			0.007	5	NaN			
ppERK (Epo = 1)			0.0178	10	NaN			
ppERK (Epo = 1)			0.0109	15	NaN			
ppERK (Epo = 1)			0.0277	20	NaN			
ppERK (Epo = 1)			0.0156	40	NaN			
ppERK (Epo = 1)			0.0095	60	NaN			
