id	t_intern_ms	t_extern_ms	state_variables	parameters	status	error_message
{Bungay2003}_{Bungay2003}	0.0	991.3591146469116	74	110	-1.0	
{Bungay2006}_{Bungay2006}	0.0	1064.5943880081177	78	113	-1.0	
{Bungay2006a}_{Bungay2006a}	0.0	523.6403942108154	54	75	-1.0	
{Eungdamrong2007}_{Eungdamrong2007}	0.0	243.66581439971924	46	119	-1.0	
{Froehlich2018}_{Froehlich2018}	0.0	54522.14312553406	1396	4704	-1.0	
{Holzhutter2004}_{Holzhutter2004}	491.18200000000024	491.9710159301758	45	166	0.0	
{Hui2014}_{Hui2014}	672.4005000000034	673.0055809020996	65	113	0.0	
{Lai2014}_{Lai2014}	0.0	617.457389831543	195	27	-1.0	
{Leber2015}_{Leber2015}	0.0	72.27849960327148	23	51	-1.0	
{Levchenko2000a}_{Levchenko2000a}	770.5074999999947	774.1906642913818	86	300	0.0	
{Liu2011}_{Liu2011}	0.0	45.7463264465332	42	89	-1.0	
{Nakakuki2010}_{Nakakuki2010}	0.0	2.2661685943603516	49	141	-4.0	
{ODea2007}_{ODea2007}	48.69199999999984	49.082279205322266	24	70	0.0	
{Ouzounoglou2014}_{Ouzounoglou2014}	3839.2924999999814	3837.382197380066	90	20	0.0	
{Pathak2013}_{Pathak2013}	5.912999999999954	6.415009498596191	57	172	0.0	
{Pathak2013a}_{Pathak2013a}	4.90800000000003	5.424141883850098	52	176	0.0	
{Pritchard2002}_{Pritchard2002}	0.0	43.976783752441406	25	87	-1.0	
{Proctor2010a}_{Proctor2010a}	0.0	3037.876009941101	136	83	-1.0	
{Proctor2013a}_{Proctor2013a}	0.0	93.9788818359375	75	131	-1.0	
{Qi2013a}_{Qi2013a}	0.0	3033.2725048065186	136	83	-1.0	
{Sasagawa2005}_{Sasagawa2005}	8707.245999999985	8704.511404037476	99	234	0.0	
{Sengupta2015}_{Sengupta2015}	0.0	2092.066168785095	240	272	-1.0	
{Singh2006}_{Singh2006}	0.0	104.02560234069824	68	105	-1.0	
{Sivakumar2011c}_{Sivakumar2011c}	48.45000000000008	48.80928993225098	50	56	0.0	
{Ueda2001}_{Ueda2001}	3.220500000000005	3.5092830657958984	13	66	0.0	
{Ung2008}_{Ung2008}	0.0	733.0005168914795	194	313	-1.0	
{Yang2007}_{Yang2007}	0.0	54.33690547943115	25	54	-1.0	
