id	t_intern_ms	t_extern_ms	state_variables	parameters	status	error_message
{Bungay2003}_{Bungay2003}	0.0	195.33991813659668	74	110	-1.0	
{Bungay2006}_{Bungay2006}	0.0	1661.8757247924805	78	113	-1.0	
{Bungay2006a}_{Bungay2006a}	0.0	90.27981758117676	54	75	-1.0	
{Eungdamrong2007}_{Eungdamrong2007}	0.0	61.57803535461426	46	119	-1.0	
{Froehlich2018}_{Froehlich2018}	0.0	58940.170645713806	1396	4704	-1.0	
{Holzhutter2004}_{Holzhutter2004}	865.2505000000019	866.111159324646	45	166	0.0	
{Hui2014}_{Hui2014}	117.60349999999971	118.33822727203369	65	113	0.0	
{Lai2014}_{Lai2014}	0.0	1851.305603981018	195	27	-1.0	
{Leber2015}_{Leber2015}	0.0	34.82329845428467	23	51	-1.0	
{Levchenko2000a}_{Levchenko2000a}	923.0379999999705	927.0421266555786	86	300	0.0	
{Liu2011}_{Liu2011}	0.0	43.987274169921875	42	89	-1.0	
{Nakakuki2010}_{Nakakuki2010}	0.0	2.2630691528320312	49	141	-4.0	
{ODea2007}_{ODea2007}	64.78599999999994	65.14418125152588	24	70	0.0	
{Ouzounoglou2014}_{Ouzounoglou2014}	1086.130999999994	1086.6374969482422	90	20	0.0	
{Pathak2013}_{Pathak2013}	5.582000000000001	6.110548973083496	57	172	0.0	
{Pathak2013a}_{Pathak2013a}	5.127999999999986	5.658864974975586	52	176	0.0	
{Pritchard2002}_{Pritchard2002}	0.0	45.26078701019287	25	87	-1.0	
{Proctor2010a}_{Proctor2010a}	0.0	371.1388111114502	136	83	-1.0	
{Proctor2013a}_{Proctor2013a}	0.0	77.30257511138916	75	131	-1.0	
{Qi2013a}_{Qi2013a}	0.0	370.34153938293457	136	83	-1.0	
{Sasagawa2005}_{Sasagawa2005}	10846.126499999882	10846.492648124695	99	234	0.0	
{Sengupta2015}_{Sengupta2015}	0.0	2091.8617248535156	240	272	-1.0	
{Singh2006}_{Singh2006}	0.0	117.03312397003174	68	105	-1.0	
{Sivakumar2011c}_{Sivakumar2011c}	42.606500000000494	42.955756187438965	50	56	0.0	
{Ueda2001}_{Ueda2001}	2.727999999999991	2.9931068420410156	13	66	0.0	
{Ung2008}_{Ung2008}	0.0	739.8093938827515	194	313	-1.0	
{Yang2007}_{Yang2007}	0.0	27.12869644165039	25	54	-1.0	
{aguda1999_fig5c}_{model0_aguda1}	23.418499999996442	24.689316749572754	12	32	0.0	
{alexander2010_fig2-user}_{model1_alexander1}	0.0	968.9494371414185	5	12	-1.0	
{alexander2010_fig2-user-2}_{model1_alexander2}	2277.1969999999565	2278.8467407226562	5	13	0.0	
{alsheihk2011_fig3-user}_{model2_alsheihk1}	4.435499999999838	5.488038063049316	5	7	0.0	
{alsheihk2011_fig4-user}_{model2_alsheihk1}	4.444500000000595	5.5065155029296875	5	7	0.0	
{alsheihk2011_fig5-user}_{model2_alsheihk1}	4.6255000000006135	5.677223205566406	5	7	0.0	
{alsheihk2011_fig6-user}_{model2_alsheihk1}	4.508000000000862	5.562901496887207	5	7	0.0	
{alsheihk2011_fig7-user}_{model2_alsheihk1}	4.587000000000664	5.637764930725098	5	7	0.0	
{bachar2004_fig1-user}_{model0_bachar1}	3.62299999999788	4.652976989746094	4	8	0.0	
{bachmann2011}_{bachmann}	0.0	106.63485527038574	26	32	-1.0	
{bachmann2011_figs9-user}_{model0_bachmann2}	0.0	105.76760768890381	26	32	-1.0	
{balagadde2008_fig2-user}_{model2_balagadde1}	5.828000000000138	6.909370422363281	7	10	0.0	
{band2012_figs19-user}_{model2_band2}	1.3974999999996065	2.428412437438965	1	4	0.0	
{becker2010_fig2b-user}_{model0_becker1}	2.7295000000001934	3.7806034088134766	6	8	0.0	
{becker2010_figs4-user}_{model0_becker2}	1.5370000000000719	2.5739669799804688	6	7	0.0	
{beuke2017_fig6}_{model29_beuke30}	0.0	43.41423511505127	33	72	-1.0	
{bier2000_fig3-user}_{model0_bier2}	11.246499999997326	12.310981750488281	4	5	0.0	
{bindschadler2001_fig5b-user}_{model0_bindschadler1}	10.94049999999875	12.989163398742676	4	21	0.0	
{borghans1997_fig12a-user}_{model0_borghans3}	29.900000000002933	31.0744047164917	4	15	0.0	
{borghans1997_fig5-user}_{model0_borghans1}	17.77399999999962	19.1878080368042	5	13	0.0	
{brands2002_fig2-user}_{model0_brands1}	1.9574999999995768	3.068685531616211	11	11	0.0	
{bucher2011_fig2-user}_{model0_bucher1}	1417.8639999999996	1419.8317527770996	18	30	0.0	
{bungay2003_fig4-user}_{model2_bungay3}	0.0	157.66668319702148	74	110	-1.0	
{bungay2006_fig3a-user}_{model0_bungay2}	0.0	86.15636825561523	54	75	-1.0	
{bungay2006_fig3b-user}_{model0_bungay1}	0.0	1746.0609674453735	78	113	-1.0	
{butenas2004_fig1-user}_{model0_butenas1}	0.0	54.46267127990723	34	44	-1.0	
{chance1943_fig12-user}_{model3_chance3}	1.7994999999996288	2.8232336044311523	4	2	0.0	
{chassagnole2002_fig4-user}_{model0_chassagnole2}	2143.1594999999943	2150.457501411438	18	135	0.0	
{chassagnole2002_fig5-user}_{model0_chassagnole2}	2141.3484999999673	2148.1618881225586	18	135	0.0	
{delcontezerail2008_fig4-user}_{delcontezerail1_Fig4D}	3.646500000000036	4.930853843688965	4	18	0.0	
{dupont1992_fig4-user}_{dupont2_Fig4B}	6.8959999999999235	8.289933204650879	4	18	0.0	
{essunger1994_fig2-2}_{model0_essunger1}	1081.9050000000252	1083.486557006836	7	14	0.0	
{essunger1994_fig4}_{model0_essunger2}	0.0	2561.308741569519	7	16	-1.0	
{essunger1994_fig5}_{model0_essunger3}	0.0	14.504432678222656	7	17	-1.0	
{essunger1994_fig6-user}_{model2_essunger3}	0.0	2137.273907661438	7	17	-1.0	
{essunger1994_fig8}_{model0_essunger6}	0.0	13.605475425720215	7	17	-1.0	
{ferreira2003_fig2f-user}_{ferreira1_Fig2F}	1.9639999999994622	3.470897674560547	6	29	0.0	
{fisher2006_fig3a}_{fisher1}	6.8254999999991846	8.202433586120605	14	22	0.0	
{fraser2002_fig1a_1b_2a_2b}_{model0_fraser1}	0.0	46.45061492919922	6	8	-1.0	
{fraser2002_fig1a_1b_2a_2b}_{model1_fraser2}	0.0	62.39926815032959	6	8	-1.0	
{fuentes2005_fig1a-user}_{model0_fuentes1}	1.383000000000143	2.400636672973633	4	4	0.0	
{fung2005_fig3a}_{fung1_Fig3A_Vgly_0_5}	178.48699999998496	179.94630336761475	8	21	0.0	
{gardner1998_fig4b-user}_{gardner1_Fig4B}	4.680499999993785	5.770564079284668	5	21	0.0	
{goldbeter1991_fig3-user}_{model0_goldbeter2}	4.4735000000001275	5.537509918212891	3	14	0.0	
{goldbeter2006_fig3a-user}_{model0_goldbeter6}	5.096499999997263	6.176352500915527	3	11	0.0	
{gorlich2003_fig4-user}_{model0_gorlich1}	22.20550000000219	23.39911460876465	13	16	0.0	
{hald2012_fig5-user}_{model0_hald}	0.0	31.667709350585938	31	89	-1.0	
{hald2012_fig5-user}_{model1_hald}	0.0	31.453967094421387	31	89	-1.0	
{hatakeyama2003_fig5-user}_{hatakeyama1_Fig5G}	0.0	34.567952156066895	36	68	-1.0	
{hernandezvargas2013}_{model0_esteban2013}	214.12899999998263	215.51549434661865	5	15	0.0	
{ho1995_fig3}_{model1_ho1}	1.2424999999992528	2.246260643005371	1	1	0.0	
{hockin1999_fig7a-user}_{model0_hockin2}	182.98150000000015	184.6466064453125	30	9	0.0	
{hockin2002_fig3-user}_{model0_hockin1}	1042.9134999999442	1044.966459274292	34	42	0.0	
{hockin2002_fig3-user}_{model1_hockin1}	1078.1659999999556	1080.3353786468506	34	42	0.0	
{hockin2002_fig3-user}_{model2_hockin1}	1078.224999999964	1080.2873373031616	34	42	0.0	
{hockin2002_fig3-user}_{model3_hockin1}	1079.5309999999954	1081.6373825073242	34	42	0.0	
{hockin2002_fig3-user}_{model4_hockin1}	1079.616999999973	1081.8583965301514	34	42	0.0	
{hockin2002_fig3-user}_{model5_hockin1}	1045.7559999999576	1047.898292541504	34	42	0.0	
{hornberg2005_fig2a-user}_{model0_hornberg1}	3.944499999999538	5.092263221740723	9	17	0.0	
{ihekwaba2004_fig5-user}_{model0_ihekwaba1}	29.3504999999995	30.940651893615723	26	64	0.0	
{jiang2007_fig2-user}_{model0_jiang1}	8201.2325000001	8196.891188621521	59	306	0.0	
{karin2017_fig1c}_{model22_karin1}	1.7324999999999342	2.758622169494629	2	3	0.0	
{karin2017_fig1g}_{model24_karin3}	1.982999999999958	3.1418800354003906	2	3	0.0	
{karin2017_fig2}_{model0_karin5}	84.69100000000032	86.64202690124512	5	2	0.0	
{kholodenko1999_fig4b-user}_{model0_kholodenko1}	12.726000000002898	14.142751693725586	23	52	0.0	
{kholodenko2000_fig2a-user}_{model0_kholodenko2}	17.70599999999874	18.85855197906494	8	22	0.0	
{kim2011_figs5-user}_{model0_kim5}	14.226499999998723	15.618562698364258	4	14	0.0	
{kirschner1998_fig2-user}_{model0_kirschner}	4.057499999999763	5.132794380187988	2	8	0.0	
{kofahl2004_fig3-user}_{model0_kofahl}	6177.774999999983	6178.163528442383	37	47	0.0	
{kolodkin2010_figure2b}_{kolodkin1}	6.606999999999047	7.666349411010742	3	8	0.0	
{kolodkin2010_figure2b}_{kolodkin2}	1166.429499999993	1167.5597429275513	6	8	0.0	
{kolodkin2010_figure2b}_{kolodkin3}	299.05749999999466	300.4840612411499	10	17	0.0	
{kolodkin2010_figure2b}_{kolodkin4}	394.5324999999906	395.971417427063	8	15	0.0	
{kolodkin2010_figure2b}_{kolodkin5}	1166.661999999993	1168.4156656265259	8	15	0.0	
{kolodkin2010_figure2b}_{kolodkin6}	652.9920000000075	654.4954776763916	8	15	0.0	
{kouril2017_fig1a}_{model1_kouril4}	1.4510000000005765	2.4836063385009766	6	7	0.0	
{kouril2017_fig2b}_{model0_kouril5}	1.3569999999997178	2.362370491027832	2	1	0.0	
{kouril2017_fig3b}_{model0_kouril6}	6.454999999999188	7.547497749328613	7	10	0.0	
{kouril2017_fig4b}_{model0_kouril7}	26.50950000000057	27.73880958557129	11	14	0.0	
{kouril2017_fig4c}_{model0_kouril8}	50.265500000000344	51.56981945037842	13	21	0.0	
{kowald2006_fig2-user}_{model0_kowald1}	0.0	18.671631813049316	9	16	-1.0	
{laub1998_fig3top-user}_{model0_laub1}	5.8564999999966005	6.942868232727051	7	14	0.0	
{lebeda2008_fig1-user-2}_{model0_lebeda2}	1.5699999999995535	2.579331398010254	4	3	0.0	
{lee2010_fig3-user}_{model0_lee4}	642.1229999999941	643.7509059906006	14	22	0.0	
{lee2010_figs6-user}_{model0_lee2}	395.4859999999967	397.12679386138916	9	12	0.0	
{lee2010_figs9-user}_{model0_lee3}	1.373499999999578	2.3915767669677734	4	4	0.0	
{leloup1999_fig2a}_{leloup1_Fig2A}	7.399499999999122	8.926868438720703	10	46	0.0	
{leloup2003_fig2a}_{leloup2_Fig2A}	14.167499999998455	16.144156455993652	16	80	0.0	
{levchenko2000_fig2-user}_{model0_levchenko2}	23.924000000001	25.597453117370605	31	46	0.0	
{levchenko2000_fig2-user}_{model1_levchenko2}	23.861499999999165	25.524497032165527	31	46	0.0	
{levchenko2000_fig2-user}_{model2_levchenko2}	24.19699999999945	25.867104530334473	31	46	0.0	
{levchenko2000_fig2-user}_{model3_levchenko2}	24.028500000000065	25.747179985046387	31	46	0.0	
{levchenko2000_fig2-user}_{model4_levchenko2}	24.081500000000574	25.723576545715332	31	46	0.0	
{levchenko2000_fig2-user}_{model5_levchenko2}	24.213499999999215	25.8711576461792	31	46	0.0	
{levchenko2000_fig2-user}_{model6_levchenko1}	14.241999999999251	15.61880111694336	22	30	0.0	
{levering2012_fig2-user}_{model1_levering1}	0.0	28.551697731018066	15	66	-1.0	
{levering2012_fig5-user}_{model3_levering2}	2576.0840000000226	2579.0592432022095	25	122	0.0	
{liu2011_fig5a-user}_{model0_liu2}	0.0	42.826056480407715	42	89	-1.0	
{liu2011_fig5a-user}_{model1_liu2}	0.0	42.78147220611572	42	89	-1.0	
{liu2011_fig5a-user}_{model2_liu2}	0.0	43.72906684875488	42	89	-1.0	
{lou2009_fig2-user}_{lou1}	1.863000000000099	2.941012382507324	6	12	0.0	
{ma2002_fig2-user}_{model0_ma}	5.083499999997192	6.163358688354492	7	14	0.0	
{marhl2000_fig2-user}_{model0_marhl}	11.76899999999759	13.101458549499512	5	11	0.0	
{martins2003_fig6-user}_{model0_martins1}	2.865499999998482	3.9796829223632812	14	16	0.0	
{marwan2003_fig5b-user}_{model0_BIOMD0000000037}	5.5930000000031725	6.872653961181641	12	12	0.0	
{mcauley2012_fig1b-user}_{model0_mcauley1}	0.0	38.41578960418701	34	44	-1.0	
{mcauley2012_fig1b-user}_{model1_mcauley1}	0.0	39.31581974029541	34	44	-1.0	
{mcauley2012_fig1b-user}_{model2_mcauley1}	0.0	38.08724880218506	34	44	-1.0	
{mcauley2012_fig1b-user}_{model3_mcauley1}	0.0	39.28649425506592	34	44	-1.0	
{mcauley2012_fig1b-user}_{model4_mcauley1}	0.0	37.650346755981445	34	44	-1.0	
{mcauley2012_fig1b-user}_{model5_mcauley1}	0.0	38.13040256500244	34	44	-1.0	
{mellor2012_fig3a-user}_{model0_mellor1}	1.7269999999998724	2.8014183044433594	10	8	0.0	
{mellor2012_fig3a-user}_{model1_mellor1}	1.776999999999731	2.879023551940918	10	8	0.0	
{mellor2012_fig3a-user}_{model2_mellor1}	1.7749999999996646	2.86710262298584	10	8	0.0	
{mellor2012_fig3a-user}_{model3_mellor1}	1.738500000000105	2.820611000061035	10	8	0.0	
{mellor2012_fig3a-user}_{model4_mellor1}	1.7565000000005293	2.8476715087890625	10	8	0.0	
{miao2008_fig1}_{model0_miao2008}	5.39100000000029	6.4792633056640625	4	9	0.0	
{montanez2008_fig3a-user}_{model0_montanez1}	2.574500000000107	3.683328628540039	3	18	0.0	
{moriya2011_fig7c-user}_{model0_moriya1}	510.41300000000314	513.0926370620728	49	108	0.0	
{morris2002_fig1b-user}_{model0_Morris2002_CellCycle_CDK2Cyclin}	1.2599999999997067	2.286195755004883	4	5	0.0	
{naresh2011_fig11to13-user}_{model3_naresh2}	2.7120000000003297	3.7872791290283203	5	10	0.0	
{naresh2011_fig6to7-user}_{model0_naresh2}	2.5300000000002	3.6107301712036133	5	10	0.0	
{naresh2011_fig6to7-user}_{model1_naresh2}	2.5484999999999935	3.657102584838867	5	10	0.0	
{naresh2011_fig8to10-user}_{model2_naresh2}	2.74050000000039	3.813505172729492	5	10	0.0	
{neves2008_figs1-user}_{model0_neves1}	255.89799999999832	258.084774017334	37	64	0.0	
{nyman2012_fig5-user}_{model0_nyman3}	0.0	29.905319213867188	9	16	-1.0	
{odea2007_fig3-user}_{model0_odea1}	74.38650000000024	76.16710662841797	24	70	0.0	
{orfao2008_fig2-user}_{model0_orfao1}	49.90999999999994	51.2392520904541	12	13	0.0	
{ouattara2008_fig3}_{model0_ouattara1}	776.6154999999985	778.1541347503662	3	6	0.0	
{panteleev2002_fig1-user}_{model0_panteleev3}	25.535499999997228	26.73518657684326	8	9	0.0	
{panteleev2002_fig1-user}_{model1_panteleev3}	25.238999999997247	26.39627456665039	8	9	0.0	
{panteleev2002_fig1-user}_{model2_panteleev3}	25.246999999996802	26.404261589050293	8	9	0.0	
{panteleev2002_fig1-user}_{model3_panteleev3}	25.29449999999949	26.500940322875977	8	9	0.0	
{panteleev2002_fig1-user}_{model4_panteleev3}	25.93249999998917	27.1298885345459	8	9	0.0	
{panteleev2002_fig1-user}_{model5_panteleev3}	25.220499999996264	26.38113498687744	8	9	0.0	
{panteleev2002_fig1-user}_{model6_panteleev3}	25.326999999996744	26.465773582458496	8	9	0.0	
