observableId	preequilibrationConditionId	simulationConditionId	measurment	time	observableParameters	noiseParameters	observableTransformation	noiseDistribution
3PG			5.235	9.6	NaN			
3PG			4.836	10.666	NaN			
3PG			4.813	11.733	NaN			
3PG			4.839	12.8	NaN			
3PG			4.329	13.866	NaN			
3PG			4.77	14.933	NaN			
3PG			4.801	16.0	NaN			
3PG			4.795	17.066	NaN			
3PG			4.647	18.133	NaN			
3PG			4.631	19.2	NaN			
3PG			4.724	20.266	NaN			
3PG			4.691	21.333	NaN			
3PG			5.055	22.4	NaN			
3PG			5.276	23.466	NaN			
3PG			4.865	24.533	NaN			
3PG			4.942	25.599	NaN			
3PG			5.091	26.666	NaN			
3PG			4.969	27.733	NaN			
3PG			4.604	28.799	NaN			
3PG			4.893	29.866	NaN			
3PG			4.873	30.933	NaN			
3PG			4.56	31.999	NaN			
3PG			4.439	33.066	NaN			
3PG			4.345	34.133	NaN			
3PG			4.718	35.199	NaN			
3PG			4.628	36.266	NaN			
3PG			4.981	37.333	NaN			
3PG			4.93	38.399	NaN			
3PG			4.719	39.466	NaN			
3PG			4.844	40.532	NaN			
3PG			4.201	41.599	NaN			
3PG			4.781	42.666	NaN			
3PG			4.853	43.732	NaN			
3PG			4.946	44.799	NaN			
3PG			4.991	45.866	NaN			
3PG			4.924	46.932	NaN			
3PG			4.416	47.999	NaN			
3PG			4.676	49.066	NaN			
3PG			5.102	50.132	NaN			
3PG			4.74	51.199	NaN			
3PG			4.638	52.266	NaN			
3PG			4.824	53.332	NaN			
pi			0.642	9.6	NaN			
pi			0.714	10.666	NaN			
pi			0.738	11.733	NaN			
pi			0.696	12.8	NaN			
pi			0.648	13.866	NaN			
pi			0.487	14.933	NaN			
pi			0.772	16.0	NaN			
pi			0.775	17.066	NaN			
pi			0.454	18.133	NaN			
pi			0.488	19.2	NaN			
pi			0.908	20.266	NaN			
pi			0.589	21.333	NaN			
pi			0.685	22.4	NaN			
pi			0.818	23.466	NaN			
pi			0.925	24.533	NaN			
pi			0.668	25.599	NaN			
pi			0.805	26.666	NaN			
pi			0.927	27.733	NaN			
pi			1.172	28.799	NaN			
pi			0.901	29.866	NaN			
pi			0.805	30.933	NaN			
pi			0.804	31.999	NaN			
pi			1.115	33.066	NaN			
pi			0.828	34.133	NaN			
pi			1.386	35.199	NaN			
pi			0.781	36.266	NaN			
pi			1.29	37.333	NaN			
pi			1.099	38.399	NaN			
pi			0.888	39.466	NaN			
pi			0.737	40.532	NaN			
pi			1.142	41.599	NaN			
pi			0.949	42.666	NaN			
pi			1.261	43.732	NaN			
pi			1.064	44.799	NaN			
pi			0.991	45.866	NaN			
pi			0.964	46.932	NaN			
pi			0.902	47.999	NaN			
pi			1.217	49.066	NaN			
pi			1.052	50.132	NaN			
pi			1.103	51.199	NaN			
pi			1.011	52.266	NaN			
pi			1.111	53.332	NaN			
atp			9.536	9.6	NaN			
atp			9.844	10.666	NaN			
atp			9.592	11.733	NaN			
atp			9.608	12.8	NaN			
atp			9.511	13.866	NaN			
atp			9.502	14.933	NaN			
atp			9.46	16.0	NaN			
atp			9.377	17.066	NaN			
atp			9.383	18.133	NaN			
atp			9.47	19.2	NaN			
atp			9.459	20.266	NaN			
atp			9.611	21.333	NaN			
atp			9.288	22.4	NaN			
atp			9.334	23.466	NaN			
atp			9.447	24.533	NaN			
atp			9.259	25.599	NaN			
atp			9.414	26.666	NaN			
atp			9.418	27.733	NaN			
atp			9.345	28.799	NaN			
atp			9.358	29.866	NaN			
atp			9.327	30.933	NaN			
atp			9.172	31.999	NaN			
atp			9.237	33.066	NaN			
atp			9.411	34.133	NaN			
atp			9.392	35.199	NaN			
atp			9.072	36.266	NaN			
atp			9.022	37.333	NaN			
atp			9.107	38.399	NaN			
atp			9.357	39.466	NaN			
atp			8.859	40.532	NaN			
atp			9.075	41.599	NaN			
atp			9.048	42.666	NaN			
atp			8.854	43.732	NaN			
atp			9.069	44.799	NaN			
atp			9.117	45.866	NaN			
atp			8.869	46.932	NaN			
atp			8.741	47.999	NaN			
atp			8.964	49.066	NaN			
atp			8.882	50.132	NaN			
atp			8.963	51.199	NaN			
atp			8.82	52.266	NaN			
atp			8.808	53.332	NaN			
adp			0.599	9.6	NaN			
adp			0.548	10.666	NaN			
adp			0.658	11.733	NaN			
adp			0.889	12.8	NaN			
adp			0.602	13.866	NaN			
adp			0.444	14.933	NaN			
adp			0.431	16.0	NaN			
adp			0.6	17.066	NaN			
adp			0.453	18.133	NaN			
adp			0.583	19.2	NaN			
adp			0.685	20.266	NaN			
adp			0.808	21.333	NaN			
adp			0.363	22.4	NaN			
adp			0.724	23.466	NaN			
adp			0.95	24.533	NaN			
adp			0.906	25.599	NaN			
adp			0.714	26.666	NaN			
adp			1.137	27.733	NaN			
adp			1.198	28.799	NaN			
adp			0.989	29.866	NaN			
adp			1.077	30.933	NaN			
adp			1.048	31.999	NaN			
adp			1.208	33.066	NaN			
adp			1.22	34.133	NaN			
adp			0.873	35.199	NaN			
adp			1.152	36.266	NaN			
adp			1.16	37.333	NaN			
adp			1.164	38.399	NaN			
adp			0.774	39.466	NaN			
adp			1.116	40.532	NaN			
adp			0.99	41.599	NaN			
adp			0.965	42.666	NaN			
adp			1.04	43.732	NaN			
adp			1.122	44.799	NaN			
adp			1.387	45.866	NaN			
adp			1.092	46.932	NaN			
adp			1.296	47.999	NaN			
adp			1.77	49.066	NaN			
adp			1.182	50.132	NaN			
adp			1.118	51.199	NaN			
adp			1.353	52.266	NaN			
adp			1.165	53.332	NaN			
