id	t_intern_ms	t_extern_ms	state_variables	parameters	status	error_message
{Bungay2003}_{Bungay2003}	38.84050000001105	41.38350486755371	74	110	0.0	
{Bungay2006}_{Bungay2006}	38.5240000000029	41.23711585998535	78	113	0.0	
{Bungay2006a}_{Bungay2006a}	10.113500000002631	12.131929397583008	54	75	0.0	
{Eungdamrong2007}_{Eungdamrong2007}	17.83400000000002	18.355607986450195	46	119	0.0	
{Froehlich2018}_{Froehlich2018}	166.4670000000001	237.68091201782227	1396	4704	0.0	
{Holzhutter2004}_{Holzhutter2004}	2.066000000000173	2.5980472564697266	45	166	0.0	
{Hui2014}_{Hui2014}	6.0994999999999955	6.52766227722168	65	113	0.0	
{Lai2014}_{Lai2014}	6.389000000000053	6.971120834350586	195	27	0.0	
{Leber2015}_{Leber2015}	8.450499999999892	8.71729850769043	23	51	0.0	
{Levchenko2000a}_{Levchenko2000a}	58.467500000002794	61.90919876098633	86	300	0.0	
{Liu2011}_{Liu2011}	18.521000000003596	20.50495147705078	42	89	0.0	
{Nakakuki2010}_{Nakakuki2010}	0.0	1.8420219421386719	49	141	-4.0	
{ODea2007}_{ODea2007}	0.8929999999999882	1.1693239212036133	24	70	0.0	
{Ouzounoglou2014}_{Ouzounoglou2014}	8.65800000000009	8.907198905944824	90	20	0.0	
{Pathak2013}_{Pathak2013}	2.471000000000039	2.9865503311157227	57	172	0.0	
{Pathak2013a}_{Pathak2013a}	2.241000000000037	2.7545690536499023	52	176	0.0	
{Pritchard2002}_{Pritchard2002}	3.5875000000000057	3.921985626220703	25	87	0.0	
{Proctor2010a}_{Proctor2010a}	95.1405	95.80731391906738	136	83	0.0	
{Proctor2013a}_{Proctor2013a}	44.6689999999997	45.240044593811035	75	131	0.0	
{Qi2013a}_{Qi2013a}	94.81500000000005	95.47984600067139	136	83	0.0	
{Sasagawa2005}_{Sasagawa2005}	12.75150000000005	13.570547103881836	99	234	0.0	
{Sengupta2015}_{Sengupta2015}	23.98050000000012	25.71249008178711	240	272	0.0	
{Singh2006}_{Singh2006}	50.3299999999999	50.85921287536621	68	105	0.0	
{Sivakumar2011c}_{Sivakumar2011c}	3.6405000000000243	3.9277076721191406	50	56	0.0	
{Ueda2001}_{Ueda2001}	2.356500000000022	2.628207206726074	13	66	0.0	
{Ung2008}_{Ung2008}	51.22050000000007	52.91283130645752	194	313	0.0	
{Yang2007}_{Yang2007}	7.184000000000005	7.4454545974731445	25	54	0.0	
{aguda1999_fig5c}_{model0_aguda1}	5.501500000001418	6.743788719177246	12	32	0.0	
{alexander2010_fig2-user}_{model1_alexander1}	2.2690000000002257	3.3653974533081055	5	12	0.0	
{alexander2010_fig2-user-2}_{model1_alexander2}	2.259000000000082	3.3423900604248047	5	13	0.0	
{alsheihk2011_fig3-user}_{model2_alsheihk1}	2.3874999999999744	3.487706184387207	5	7	0.0	
{alsheihk2011_fig4-user}_{model2_alsheihk1}	2.37349999999973	3.451228141784668	5	7	0.0	
{alsheihk2011_fig5-user}_{model2_alsheihk1}	3.2480000000000757	4.328370094299316	5	7	0.0	
{alsheihk2011_fig6-user}_{model2_alsheihk1}	2.50349999999999	3.572225570678711	5	7	0.0	
{alsheihk2011_fig7-user}_{model2_alsheihk1}	3.2715000000000956	4.34422492980957	5	7	0.0	
{bachar2004_fig1-user}_{model0_bachar1}	2.529000000000245	3.595113754272461	4	8	0.0	
{bachmann2011}_{bachmann}	5.5214999999989995	6.971955299377441	26	32	0.0	
{bachmann2011_figs9-user}_{model0_bachmann2}	4.874999999998998	6.371498107910156	26	32	0.0	
{balagadde2008_fig2-user}_{model2_balagadde1}	5.049000000000966	6.154417991638184	7	10	0.0	
{band2012_figs19-user}_{model2_band2}	1.3869999999996248	2.430081367492676	1	4	0.0	
