id	t_intern_ms	t_extern_ms	state_variables	parameters	status	error_message
{Bungay2003}_{Bungay2003}	37.50550000000345	40.061235427856445	74	110	0.0	
{Bungay2006}_{Bungay2006}	52.718000000001496	55.41729927062988	78	113	0.0	
{Bungay2006a}_{Bungay2006a}	24.91300000000541	26.98040008544922	54	75	0.0	
{Eungdamrong2007}_{Eungdamrong2007}	21.99200000000006	22.472620010375977	46	119	0.0	
{Froehlich2018}_{Froehlich2018}	291.4625	362.368106842041	1396	4704	0.0	
{Holzhutter2004}_{Holzhutter2004}	4.497000000000028	5.058050155639648	45	166	0.0	
{Hui2014}_{Hui2014}	6.682000000000006	7.116436958312988	65	113	0.0	
{Lai2014}_{Lai2014}	27.858499999999935	28.511643409729004	195	27	0.0	
{Leber2015}_{Leber2015}	10.560000000000006	10.808229446411133	23	51	0.0	
{Levchenko2000a}_{Levchenko2000a}	65.45750000000783	68.90738010406494	86	300	0.0	
{Liu2011}_{Liu2011}	26.526500000000837	28.501391410827637	42	89	0.0	
{Nakakuki2010}_{Nakakuki2010}	0.0	1.9127130508422852	49	141	-4.0	
{ODea2007}_{ODea2007}	2.3220000000000063	2.605438232421875	24	70	0.0	
{Ouzounoglou2014}_{Ouzounoglou2014}	10.710500000000032	10.984301567077637	90	20	0.0	
{Pathak2013}_{Pathak2013}	2.682500000000015	3.1843185424804688	57	172	0.0	
{Pathak2013a}_{Pathak2013a}	2.4105000000000345	2.93576717376709	52	176	0.0	
{Pritchard2002}_{Pritchard2002}	4.977999999999991	5.323290824890137	25	87	0.0	
{Proctor2010a}_{Proctor2010a}	123.38499999999863	124.09448623657227	136	83	0.0	
{Proctor2013a}_{Proctor2013a}	63.05749999999966	63.58456611633301	75	131	0.0	
{Qi2013a}_{Qi2013a}	124.39749999999975	125.03230571746826	136	83	0.0	
{Sasagawa2005}_{Sasagawa2005}	20.36750000000002	21.203160285949707	99	234	0.0	
{Sengupta2015}_{Sengupta2015}	31.26849999999957	33.03337097167969	240	272	0.0	
{Singh2006}_{Singh2006}	57.91800000000002	58.42602252960205	68	105	0.0	
{Sivakumar2011c}_{Sivakumar2011c}	7.331499999999949	7.61568546295166	50	56	0.0	
{Ueda2001}_{Ueda2001}	3.1039999999999957	3.381967544555664	13	66	0.0	
{Ung2008}_{Ung2008}	86.26850000000093	87.95368671417236	194	313	0.0	
{Yang2007}_{Yang2007}	11.805999999999973	12.089967727661133	25	54	0.0	
{aguda1999_fig5c}_{model0_aguda1}	7.306500000000213	8.540034294128418	12	32	0.0	
{alexander2010_fig2-user}_{model1_alexander1}	2.229999999999994	3.3322572708129883	5	12	0.0	
{alexander2010_fig2-user-2}_{model1_alexander2}	2.345500000000026	3.4246444702148438	5	13	0.0	
{alsheihk2011_fig3-user}_{model2_alsheihk1}	2.5485000000005726	3.6281347274780273	5	7	0.0	
{alsheihk2011_fig4-user}_{model2_alsheihk1}	2.512499999999968	3.5872459411621094	5	7	0.0	
{alsheihk2011_fig5-user}_{model2_alsheihk1}	3.905500000000253	4.993796348571777	5	7	0.0	
{alsheihk2011_fig6-user}_{model2_alsheihk1}	2.5550000000002875	3.6308765411376953	5	7	0.0	
{alsheihk2011_fig7-user}_{model2_alsheihk1}	3.878999999999566	4.968166351318359	5	7	0.0	
{bachar2004_fig1-user}_{model0_bachar1}	2.607000000000653	3.6687850952148438	4	8	0.0	
{bachmann2011}_{bachmann}	6.065000000000865	7.555365562438965	26	32	0.0	
{bachmann2011_figs9-user}_{model0_bachmann2}	6.121999999998813	7.618904113769531	26	32	0.0	
{balagadde2008_fig2-user}_{model2_balagadde1}	5.924000000000662	7.032155990600586	7	10	0.0	
{band2012_figs19-user}_{model2_band2}	1.4105000000001189	2.454042434692383	1	4	0.0	
{becker2010_fig2b-user}_{model0_becker1}	2.2310000000002326	3.2846927642822266	6	8	0.0	
{becker2010_figs4-user}_{model0_becker2}	1.6224999999998353	2.6803016662597656	6	7	0.0	
{beuke2017_fig6}_{model29_beuke30}	11.61949999999802	13.379573822021484	33	72	0.0	
{bier2000_fig3-user}_{model0_bier2}	11.72700000000055	12.83407211303711	4	5	0.0	
{bindschadler2001_fig5b-user}_{model0_bindschadler1}	11.867999999998545	13.960838317871094	4	21	0.0	
{borghans1997_fig12a-user}_{model0_borghans3}	47.90300000000616	49.140334129333496	4	15	0.0	
{borghans1997_fig5-user}_{model0_borghans1}	23.225999999999487	24.73318576812744	5	13	0.0	
{brands2002_fig2-user}_{model0_brands1}	2.2040000000003044	3.3159255981445312	11	11	0.0	
{bucher2011_fig2-user}_{model0_bucher1}	4.311499999999317	5.644083023071289	18	30	0.0	
{bungay2003_fig4-user}_{model2_bungay3}	38.480000000004424	40.96090793609619	74	110	0.0	
{bungay2006_fig3a-user}_{model0_bungay2}	29.6044999999977	31.68356418609619	54	75	0.0	
