id	t_intern_ms	t_extern_ms	state_variables	parameters	status	error_message
{Bungay2003}_{Bungay2003}	20.533500000005915	23.116111755371094	74	110	0.0	
{Bungay2006}_{Bungay2006}	27.752000000002056	30.269742012023926	78	113	0.0	
{Bungay2006a}_{Bungay2006a}	7.495999999995163	9.472966194152832	54	75	0.0	
{Eungdamrong2007}_{Eungdamrong2007}	19.295499999999862	19.796133041381836	46	119	0.0	
{Froehlich2018}_{Froehlich2018}	126.45650000000023	197.24738597869873	1396	4704	0.0	
{Holzhutter2004}_{Holzhutter2004}	1.4269999999999818	1.9605159759521484	45	166	0.0	
{Hui2014}_{Hui2014}	5.164499999999997	5.586504936218262	65	113	0.0	
{Lai2014}_{Lai2014}	4.754999999999811	5.334615707397461	195	27	0.0	
{Leber2015}_{Leber2015}	10.972499999999968	11.220335960388184	23	51	0.0	
{Levchenko2000a}_{Levchenko2000a}	10.62549999999272	13.892412185668945	86	300	0.0	
{Liu2011}_{Liu2011}	16.328499999998314	18.334627151489258	42	89	0.0	
{Nakakuki2010}_{Nakakuki2010}	0.0	1.8739700317382812	49	141	-4.0	
{ODea2007}_{ODea2007}	0.5839999999999965	0.8944272994995117	24	70	0.0	
{Ouzounoglou2014}_{Ouzounoglou2014}	7.339500000000003	7.577776908874512	90	20	0.0	
{Pathak2013}_{Pathak2013}	1.6839999999999895	2.1991729736328125	57	172	0.0	
{Pathak2013a}_{Pathak2013a}	1.4359999999999937	1.9534826278686523	52	176	0.0	
{Pritchard2002}_{Pritchard2002}	2.5604999999999976	2.8957128524780273	25	87	0.0	
{Proctor2010a}_{Proctor2010a}	90.65500000000009	91.3153886795044	136	83	0.0	
{Proctor2013a}_{Proctor2013a}	41.77300000000059	42.29700565338135	75	131	0.0	
{Qi2013a}_{Qi2013a}	91.47600000000007	92.11313724517822	136	83	0.0	
{Sasagawa2005}_{Sasagawa2005}	8.655500000000075	9.468674659729004	99	234	0.0	
{Sengupta2015}_{Sengupta2015}	22.681500000000085	24.36530590057373	240	272	0.0	
{Singh2006}_{Singh2006}	49.11350000000027	49.59273338317871	68	105	0.0	
{Sivakumar2011c}_{Sivakumar2011c}	2.4090000000000344	2.6874542236328125	50	56	0.0	
{Ueda2001}_{Ueda2001}	1.3825000000000127	1.6494989395141602	13	66	0.0	
{Ung2008}_{Ung2008}	33.76799999999993	35.408854484558105	194	313	0.0	
{Yang2007}_{Yang2007}	5.601999999999947	5.851149559020996	25	54	0.0	
