model	num_x	num_r	num_p	p_n	p_l	p_q	p_p	p_e	p_L	p_Q	p_P	p_E	p_o	1_1_08_06	1_1_10_14	1_1_12_10	1_1_16_08	1_6_08_06	1_6_10_14	1_6_12_10	1_6_16_08	1_7_08_06	1_7_10_14	1_7_12_10	1_7_16_08	1_8_08_06	1_8_10_14	1_8_12_10	1_8_16_08	1_9_08_06	1_9_10_14	1_9_12_10	1_9_16_08	2_1_08_06	2_1_10_14	2_1_12_10	2_1_16_08	2_6_08_06	2_6_10_14	2_6_12_10	2_6_16_08	2_7_08_06	2_7_10_14	2_7_12_10	2_7_16_08	2_8_08_06	2_8_10_14	2_8_12_10	2_8_16_08	2_9_08_06	2_9_10_14	2_9_12_10	2_9_16_08
{Liu2011}	42	45	89	0	1	0	0	0	0	0	0	0	0.35555555555555557	0.0	0.0	0.0	0.0	0.12765899890000001	0.0112810983	0.0	0.0	0.0947558649	0.0103541716	0.0159787357	0.0329557517	0.042622052599999995	0.0066335543	0.0	0.0	0.2812444127	0.023742679500000002	0.0435610723	0.0908769948	0.0	0.0	0.0	0.0	0.1866791497	0.0645695364	0.0763423407	0.06836917519999999	0.151685935	0.0683685148	0.0700799952	0.0706112962	0.06619813150000001	0.0245736454	0.029636685299999996	0.0256862923	1.0	0.2916743927	0.3358639178	0.425058548
{Nakakuki2010}	49	78	141	0	0.7692307692307693	0	0	0	0.08974358974358974	0	0	0	0.5128205128205128	0.0	0.0	0.0	0.0	0.0	0.6780752609999999	1.0	0.0	0.0	0.5507579528000001	0.8265101841	0.0	0.0	0.3372820062	0.4908795577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
{ODea2007}	24	51	70	0.058823529411764705	0.9215686274509803	0.0196078431372549	0	0	0	0	0	0	0	0.0134242448	0.013875025	0.0127252087	0.0020963633	0.2519485227	0.0977427748	0.0606616043	0.04514746	0.2536959299	0.0799493846	0.0565155519	0.0483747477	0.1218229623	0.0565086592	0.0282543296	0.0202067191	0.5622977346	0.22119669	0.1097339544	0.1129255017	0.0076892439	0.010705813500000001	0.0142769104	0.0016293403	0.3846153846	0.22612656579999998	0.1698021011	0.1861025572	0.2609348601	0.13424763380000002	0.09722319369999999	0.1209116214	0.1434764657	0.07842915980000001	0.057516448	0.0623821919	1.0	0.6663470757	0.4228780043	0.4923839887
{Ouzounoglou2014}	90	136	20	0	0.9852941176470589	0.014705882352941176	0	0	0	0	0	0	0	0.0008532307000000001	0.0	0.0014401957	0.0	0.0936338028	0.0219851157	0.039116742999999995	0.0320012939	0.1434861435	0.0267684577	0.0	0.0513832037	0.028117545600000002	0.0138677507	0.0194796519	0.0344333212	0.3183908046	0.0495737611	0.0615596595	0.1070310789	0.0004873482	0.0037761999	0.0010757149	0.0	0.5211665099	0.1540172366	0.1989894878	0.29781743899999996	0.2691759523	0.0852832512	0.1467005614	0.1661302253	0.1396967354	0.0773548549	0.09897216630000001	0.0993318113	1.0	0.34011378049999996	0.437829294	0.5939532557
{Pathak2013}	57	86	172	0	1	0	0	0	0	0	0	0	0	0.2966370558	0.1181525242	0.1298160361	0.1995944071	0.4192825112	0.0828203198	0.1264624332	0.0689884158	0.41491013979999997	0.1236036751	0.1305319	0.2184324261	0.2460202605	0.04349545269999999	0.0849112292	0.06273694099999999	0.7379636937999999	0.2582516227	0.2693748199	0.4897852279	0.4713889589	0.17244559199999998	0.1624674196	0.2901023891	0.4345805252	0.1708230565	0.17311608960000002	0.2788547569	0.2525320729	0.0909179308	0.1614574339	0.16425120769999998	0.20354849239999998	0.1018463047	0.10158626679999999	0.1413133832	1.0	0.3596845547	0.3656628862	0.6596119928999999
{Pathak2013a}	52	88	176	0	1	0	0	0	0	0	0	0	0	0.4555606199	0.1639061988	0.1743111266	0.2928937729	0.4834340992	0.1182350506	0.1255337855	0.1447397002	0.5370768404	0.1604720238	0.1887273414	0.2920379839	0.2896261953	0.046668534299999995	0.0706061034	0.10282921810000001	0.9592130518	0.32377712989999996	0.3385840108	0.49664596270000005	0.5319318787	0.19704287829999997	0.2096046975	0.3492313068	0.5506887052	0.2096706524	0.22129967899999997	0.3359099311	0.3069717445	0.1138836666	0.1764186744	0.2154326975	0.3144565046	0.12987266109999998	0.13076470199999998	0.1459870007	1.0	0.3989223708	0.429522991	0.6838864181000001
{Pritchard2002}	25	19	87	0.10526315789473684	0.2631578947368421	0	0	0	0.05263157894736842	0	0	0	0.6842105263157895	0.0	0.0	0.0	0.0	0.0652003484	0.008935793000000001	0.0077201759	0.0224452924	0.0300321989	0.0066673496	0.0057082392000000004	0.0214301052	0.0125813121	0.0037002386	0.0031058897	0.009873042	0.0993693993	0.04065946	0.0308256201	0.0691311275	0.0	0.0	0.0	0.0	0.1838275926	0.1057128734	0.09927714039999999	0.1429799427	0.061974746399999996	0.060199055	0.0625143549	0.048973583099999995	0.034194086299999996	0.021794041200000003	0.020960075	0.0221855016	1.0	0.4384243667	0.36605942049999995	0.4995828467
{Proctor2010a}	136	316	83	0	0.9968354430379747	0	0	0	0	0	0	0	0.05379746835443038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1472191565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.2544650247	0.3246537952	0.3850556359
{Proctor2013a}	75	132	131	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0742116223	0.0	0.0	0.0	0.0771852267	0.0	0.0	0.0	0.030481001400000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07245805179999999	0.0329653659	0.0460224309	0.0511455187	0.10046737	0.0408082013	0.050745225	0.0462703384	0.0222900609	0.013156975100000001	0.0150606096	0.0164205832	1.0	0.3411043935	0.3600837074	0.47359703090000005
{Qi2013a}	136	316	83	0	0.9968354430379747	0	0	0	0	0	0	0	0.05379746835443038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1485206774	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.2542522706	0.3232466847	0.3888598935
