observableId	preequilibrationConditionId	simulationConditionId	measurment	time	observableParameters	noiseParameters	observableTransformation	noiseDistribution
3PG			5.837	8.533	NaN			
3PG			6.066	9.6	NaN			
3PG			6.148	10.666	NaN			
3PG			6.534	11.733	NaN			
3PG			6.884	12.8	NaN			
3PG			6.987	13.866	NaN			
3PG			6.147	14.933	NaN			
3PG			6.359	16.0	NaN			
3PG			5.713	17.066	NaN			
3PG			6.365	18.133	NaN			
3PG			6.644	19.2	NaN			
3PG			6.506	20.266	NaN			
3PG			6.353	21.333	NaN			
3PG			6.646	22.4	NaN			
3PG			6.137	23.466	NaN			
3PG			6.362	24.533	NaN			
3PG			6.321	25.599	NaN			
3PG			6.664	26.666	NaN			
3PG			6.762	27.733	NaN			
3PG			6.608	28.799	NaN			
3PG			6.687	29.866	NaN			
3PG			6.521	30.933	NaN			
3PG			6.331	31.999	NaN			
3PG			7.17	33.066	NaN			
3PG			7.086	34.133	NaN			
3PG			6.589	35.199	NaN			
3PG			6.686	36.266	NaN			
3PG			6.978	37.333	NaN			
3PG			6.701	38.399	NaN			
3PG			6.605	39.466	NaN			
3PG			6.802	40.532	NaN			
3PG			7.04	41.599	NaN			
3PG			6.977	42.666	NaN			
3PG			6.378	43.732	NaN			
3PG			6.746	44.799	NaN			
pi			1.207	8.533	NaN			
pi			2.311	9.6	NaN			
pi			1.42	10.666	NaN			
pi			2.382	11.733	NaN			
pi			2.056	12.8	NaN			
pi			2.253	13.866	NaN			
pi			2.154	14.933	NaN			
pi			2.988	16.0	NaN			
pi			2.45	17.066	NaN			
pi			3.479	18.133	NaN			
pi			3.711	19.2	NaN			
pi			3.351	20.266	NaN			
pi			4.319	21.333	NaN			
pi			2.981	22.4	NaN			
pi			3.997	23.466	NaN			
pi			4.637	24.533	NaN			
pi			4.417	25.599	NaN			
pi			4.454	26.666	NaN			
pi			4.884	27.733	NaN			
pi			4.741	28.799	NaN			
pi			5.269	29.866	NaN			
pi			5.011	30.933	NaN			
pi			5.238	31.999	NaN			
pi			5.221	33.066	NaN			
pi			5.585	34.133	NaN			
pi			5.501	35.199	NaN			
pi			5.315	36.266	NaN			
pi			5.134	37.333	NaN			
pi			5.311	38.399	NaN			
pi			5.345	39.466	NaN			
pi			5.541	40.532	NaN			
pi			5.898	41.599	NaN			
pi			6.056	42.666	NaN			
pi			5.73	43.732	NaN			
pi			5.348	44.799	NaN			
atp			9.999	8.533	NaN			
atp			10.057	9.6	NaN			
atp			10.045	10.666	NaN			
atp			10.021	11.733	NaN			
atp			10.188	12.8	NaN			
atp			9.967	13.866	NaN			
atp			10.289	14.933	NaN			
atp			9.963	16.0	NaN			
atp			10.392	17.066	NaN			
atp			10.492	18.133	NaN			
atp			10.477	19.2	NaN			
atp			10.144	20.266	NaN			
atp			10.5	21.333	NaN			
atp			10.227	22.4	NaN			
atp			10.462	23.466	NaN			
atp			10.219	24.533	NaN			
atp			10.295	25.599	NaN			
atp			10.316	26.666	NaN			
atp			10.438	27.733	NaN			
atp			10.762	28.799	NaN			
atp			10.242	29.866	NaN			
atp			9.891	30.933	NaN			
atp			10.275	31.999	NaN			
atp			9.902	33.066	NaN			
atp			10.015	34.133	NaN			
atp			10.01	35.199	NaN			
atp			9.564	36.266	NaN			
atp			9.756	37.333	NaN			
atp			9.979	38.399	NaN			
atp			10.097	39.466	NaN			
atp			9.724	40.532	NaN			
atp			9.655	41.599	NaN			
atp			9.829	42.666	NaN			
atp			9.884	43.732	NaN			
atp			9.642	44.799	NaN			
pep			4.426	8.533	NaN			
pep			4.29	9.6	NaN			
pep			4.808	10.666	NaN			
pep			3.892	11.733	NaN			
pep			3.605	12.8	NaN			
pep			3.573	13.866	NaN			
pep			3.311	14.933	NaN			
pep			2.768	16.0	NaN			
pep			2.789	17.066	NaN			
pep			3.56	18.133	NaN			
pep			2.619	19.2	NaN			
pep			1.699	20.266	NaN			
pep			2.647	21.333	NaN			
pep			2.127	22.4	NaN			
pep			2.18	23.466	NaN			
pep			1.259	24.533	NaN			
pep			1.653	25.599	NaN			
pep			1.968	26.666	NaN			
pep			0.997	27.733	NaN			
pep			1.452	28.799	NaN			
pep			1.568	29.866	NaN			
pep			1.426	30.933	NaN			
pep			1.067	31.999	NaN			
pep			1.521	33.066	NaN			
pep			2.029	34.133	NaN			
pep			1.859	35.199	NaN			
pep			1.438	36.266	NaN			
pep			0.567	37.333	NaN			
pep			1.091	38.399	NaN			
pep			0.884	39.466	NaN			
pep			1.228	40.532	NaN			
pep			1.89	41.599	NaN			
pep			1.137	42.666	NaN			
pep			1.21	43.732	NaN			
pep			1.587	44.799	NaN			
