id	t_intern_ms	t_extern_ms	state_variables	parameters	status	error_message
{Bungay2003}_{Bungay2003}	0.0	142.25256443023682	74	110	-1.0	
{Bungay2006}_{Bungay2006}	0.0	117.95830726623535	78	113	-1.0	
{Bungay2006a}_{Bungay2006a}	0.0	72.07131385803223	54	75	-1.0	
{Eungdamrong2007}_{Eungdamrong2007}	0.0	59.125304222106934	46	119	-1.0	
{Froehlich2018}_{Froehlich2018}	0.0	56826.852679252625	1396	4704	-1.0	
{Holzhutter2004}_{Holzhutter2004}	413.33400000000074	414.19899463653564	45	166	0.0	
{Hui2014}_{Hui2014}	149.91000000000122	150.47037601470947	65	113	0.0	
{Lai2014}_{Lai2014}	0.0	698.2450485229492	195	27	-1.0	
{Leber2015}_{Leber2015}	0.0	34.703969955444336	23	51	-1.0	
{Levchenko2000a}_{Levchenko2000a}	428.18950000002224	431.97953701019287	86	300	0.0	
{Liu2011}_{Liu2011}	0.0	94.59590911865234	42	89	-1.0	
{Nakakuki2010}_{Nakakuki2010}	0.0	2.312302589416504	49	141	-4.0	
{ODea2007}_{ODea2007}	50.089999999999975	50.43208599090576	24	70	0.0	
{Ouzounoglou2014}_{Ouzounoglou2014}	0.0	118.6068058013916	90	20	-1.0	
{Pathak2013}_{Pathak2013}	7.9134999999999565	8.456587791442871	57	172	0.0	
{Pathak2013a}_{Pathak2013a}	6.097999999999978	6.628870964050293	52	176	0.0	
{Pritchard2002}_{Pritchard2002}	0.0	34.021735191345215	25	87	-1.0	
{Proctor2010a}_{Proctor2010a}	0.0	332.61048793792725	136	83	-1.0	
{Proctor2013a}_{Proctor2013a}	0.0	96.53091430664062	75	131	-1.0	
{Qi2013a}_{Qi2013a}	0.0	333.82153511047363	136	83	-1.0	
{Sasagawa2005}_{Sasagawa2005}	0.0	147.39084243774414	99	234	-1.0	
{Sengupta2015}_{Sengupta2015}	0.0	1334.355115890503	240	272	-1.0	
{Singh2006}_{Singh2006}	0.0	96.78363800048828	68	105	-1.0	
{Sivakumar2011c}_{Sivakumar2011c}	48.75800000000049	49.09062385559082	50	56	0.0	
{Ueda2001}_{Ueda2001}	3.4745000000000203	3.867506980895996	13	66	0.0	
{Ung2008}_{Ung2008}	0.0	676.0122776031494	194	313	-1.0	
{Yang2007}_{Yang2007}	0.0	28.966069221496582	25	54	-1.0	
{aguda1999_fig5c}_{model0_aguda1}	25.382999999991284	26.687979698181152	12	32	0.0	
{alexander2010_fig2-user}_{model1_alexander1}	0.0	843.095064163208	5	12	-1.0	
{alexander2010_fig2-user-2}_{model1_alexander2}	1111.9344999999937	1113.706111907959	5	13	0.0	
{alsheihk2011_fig3-user}_{model2_alsheihk1}	4.074999999999761	5.203723907470703	5	7	0.0	
{alsheihk2011_fig4-user}_{model2_alsheihk1}	4.085000000000555	5.228877067565918	5	7	0.0	
{alsheihk2011_fig5-user}_{model2_alsheihk1}	4.350000000000605	5.495309829711914	5	7	0.0	
{alsheihk2011_fig6-user}_{model2_alsheihk1}	4.149000000000289	5.28872013092041	5	7	0.0	
{alsheihk2011_fig7-user}_{model2_alsheihk1}	4.3695000000003965	5.528926849365234	5	7	0.0	
{bachar2004_fig1-user}_{model0_bachar1}	2.23300000000053	3.328561782836914	4	8	0.0	
{bachmann2011}_{bachmann}	0.0	24.382710456848145	26	32	-1.0	
{bachmann2011_figs9-user}_{model0_bachmann2}	0.0	29.704689979553223	26	32	-1.0	
{balagadde2008_fig2-user}_{model2_balagadde1}	4.914000000000435	6.073713302612305	7	10	0.0	
{band2012_figs19-user}_{model2_band2}	1.469999999999878	2.522110939025879	1	4	0.0	
{becker2010_fig2b-user}_{model0_becker1}	2.116999999999848	3.2379627227783203	6	8	0.0	
{becker2010_figs4-user}_{model0_becker2}	1.529500000000084	2.617001533508301	6	7	0.0	
{beuke2017_fig6}_{model29_beuke30}	0.0	36.466002464294434	33	72	-1.0	
{bier2000_fig3-user}_{model0_bier2}	7.886000000000308	9.049773216247559	4	5	0.0	
{bindschadler2001_fig5b-user}_{model0_bindschadler1}	7.272999999998444	9.325027465820312	4	21	0.0	
{borghans1997_fig12a-user}_{model0_borghans3}	32.67199999999929	33.855557441711426	4	15	0.0	
{borghans1997_fig5-user}_{model0_borghans1}	15.79949999999775	17.200469970703125	5	13	0.0	
{brands2002_fig2-user}_{model0_brands1}	2.0065000000001785	3.1827688217163086	11	11	0.0	
{bucher2011_fig2-user}_{model0_bucher1}	0.0	22.57716655731201	18	30	-1.0	
{bungay2003_fig4-user}_{model2_bungay3}	0.0	123.82948398590088	74	110	-1.0	
{bungay2006_fig3a-user}_{model0_bungay2}	0.0	71.40600681304932	54	75	-1.0	
{bungay2006_fig3b-user}_{model0_bungay1}	0.0	124.86016750335693	78	113	-1.0	
{butenas2004_fig1-user}_{model0_butenas1}	0.0	580.5907249450684	34	44	-1.0	
{chance1943_fig12-user}_{model3_chance3}	1.5975000000002293	2.7036666870117188	4	2	0.0	
{chassagnole2002_fig4-user}_{model0_chassagnole2}	2212.954999999975	2219.5258140563965	18	135	0.0	
