id	t_intern_ms	t_extern_ms	state_variables	parameters	status	error_message
{Bungay2003}_{Bungay2003}	206.36699999999848	209.21576023101807	74	110	0.0	
{Bungay2006}_{Bungay2006}	132.63950000000057	135.48016548156738	78	113	0.0	
{Bungay2006a}_{Bungay2006a}	83.0854999999994	85.34681797027588	54	75	0.0	
{Eungdamrong2007}_{Eungdamrong2007}	1328.1095000000032	1328.981876373291	46	119	0.0	
{Froehlich2018}_{Froehlich2018}	1176.3779999999988	1249.9465942382812	1396	4704	0.0	
{Holzhutter2004}_{Holzhutter2004}	53.25399999999985	53.891539573669434	45	166	0.0	
{Hui2014}_{Hui2014}	14.919999999999987	15.371561050415039	65	113	0.0	
{Lai2014}_{Lai2014}	140.96350000000007	141.71278476715088	195	27	0.0	
{Leber2015}_{Leber2015}	244.04099999999949	244.4758415222168	23	51	0.0	
{Levchenko2000a}_{Levchenko2000a}	28.384499999997843	31.931757926940918	86	300	0.0	
{Liu2011}_{Liu2011}	214.7880000000008	217.03243255615234	42	89	0.0	
{Nakakuki2010}_{Nakakuki2010}	0.0	212.29267120361328	49	141	-1.0	
{ODea2007}_{ODea2007}	14.36699999999999	15.35952091217041	24	70	0.0	
{Ouzounoglou2014}_{Ouzounoglou2014}	80.86300000000051	81.33602142333984	90	20	0.0	
{Pathak2013}_{Pathak2013}	4.280499999999982	4.824042320251465	57	172	0.0	
{Pathak2013a}_{Pathak2013a}	3.4225000000000563	3.96120548248291	52	176	0.0	
{Pritchard2002}_{Pritchard2002}	69.85499999999996	70.27161121368408	25	87	0.0	
{Proctor2010a}_{Proctor2010a}	0.0	388.6833190917969	136	83	-1.0	
{Proctor2013a}_{Proctor2013a}	0.0	111.3276481628418	75	131	-1.0	
{Qi2013a}_{Qi2013a}	0.0	372.89273738861084	136	83	-1.0	
{Sasagawa2005}_{Sasagawa2005}	200.22799999999916	201.3183832168579	99	234	0.0	
{Sengupta2015}_{Sengupta2015}	31.06049999999979	32.7906608581543	240	272	0.0	
{Singh2006}_{Singh2006}	0.0	116.99116230010986	68	105	-1.0	
{Sivakumar2011c}_{Sivakumar2011c}	17.917499999999876	18.250703811645508	50	56	0.0	
{Ueda2001}_{Ueda2001}	3.3969999999999905	3.6803483963012695	13	66	0.0	
{Ung2008}_{Ung2008}	0.0	332.3211669921875	194	313	-1.0	
{Yang2007}_{Yang2007}	0.0	61.65134906768799	25	54	-1.0	
{aguda1999_fig5c}_{model0_aguda1}	6.063999999997456	7.376670837402344	12	32	0.0	
{alexander2010_fig2-user}_{model1_alexander1}	1.8689999999997786	3.01361083984375	5	12	0.0	
{alexander2010_fig2-user-2}_{model1_alexander2}	1.9579999999993798	3.1387805938720703	5	13	0.0	
{alsheihk2011_fig3-user}_{model2_alsheihk1}	1.722499999999867	2.8592348098754883	5	7	0.0	
{alsheihk2011_fig4-user}_{model2_alsheihk1}	1.7289999999996528	2.878546714782715	5	7	0.0	
{alsheihk2011_fig5-user}_{model2_alsheihk1}	2.33300000000148	3.4973621368408203	5	7	0.0	
{alsheihk2011_fig6-user}_{model2_alsheihk1}	1.7654999999999266	2.918720245361328	5	7	0.0	
{alsheihk2011_fig7-user}_{model2_alsheihk1}	2.312000000000424	3.4677982330322266	5	7	0.0	
{bachar2004_fig1-user}_{model0_bachar1}	1.473999999999272	2.569913864135742	4	8	0.0	
{bachmann2011}_{bachmann}	82.99700000000132	84.75255966186523	26	32	0.0	
{bachmann2011_figs9-user}_{model0_bachmann2}	93.1059999999984	94.86711025238037	26	32	0.0	
{balagadde2008_fig2-user}_{model2_balagadde1}	2.5779999999999177	3.7305355072021484	7	10	0.0	
{band2012_figs19-user}_{model2_band2}	1.3934999999998885	2.464771270751953	1	4	0.0	
{becker2010_fig2b-user}_{model0_becker1}	1.5714999999999755	2.6606321334838867	6	8	0.0	
{becker2010_figs4-user}_{model0_becker2}	1.4689999999999517	2.5690793991088867	6	7	0.0	
{beuke2017_fig6}_{model29_beuke30}	1195.0739999999587	1197.0405578613281	33	72	0.0	
{bier2000_fig3-user}_{model0_bier2}	5.71799999999784	6.910920143127441	4	5	0.0	
{bindschadler2001_fig5b-user}_{model0_bindschadler1}	7.587000000000089	9.654760360717773	4	21	0.0	
{borghans1997_fig12a-user}_{model0_borghans3}	42.04600000000031	43.34056377410889	4	15	0.0	
{borghans1997_fig5-user}_{model0_borghans1}	22.50849999999872	23.943781852722168	5	13	0.0	
{brands2002_fig2-user}_{model0_brands1}	1.7649999999995067	2.942800521850586	11	11	0.0	
{bucher2011_fig2-user}_{model0_bucher1}	30.718499999997874	32.19485282897949	18	30	0.0	
{bungay2003_fig4-user}_{model2_bungay3}	133.78750000000105	136.41822338104248	74	110	0.0	
{bungay2006_fig3a-user}_{model0_bungay2}	84.30400000000259	86.54296398162842	54	75	0.0	
{bungay2006_fig3b-user}_{model0_bungay1}	132.4249999999994	135.1327896118164	78	113	0.0	
{butenas2004_fig1-user}_{model0_butenas1}	48.67949999999836	50.681114196777344	34	44	0.0	
{chance1943_fig12-user}_{model3_chance3}	1.5200000000000102	2.6035308837890625	4	2	0.0	
{chassagnole2002_fig4-user}_{model0_chassagnole2}	565.0845000000008	571.4565515518188	18	135	0.0	
{chassagnole2002_fig5-user}_{model0_chassagnole2}	564.3054999999977	570.7012414932251	18	135	0.0	
{delcontezerail2008_fig4-user}_{delcontezerail1_Fig4D}	4.055000000000714	5.444169044494629	4	18	0.0	
{dupont1992_fig4-user}_{dupont2_Fig4B}	7.215499999997721	8.667349815368652	4	18	0.0	
{essunger1994_fig2-2}_{model0_essunger1}	2.6854999999995144	3.9561986923217773	7	14	0.0	
{essunger1994_fig4}_{model0_essunger2}	4.506000000000341	5.795836448669434	7	16	0.0	
{essunger1994_fig5}_{model0_essunger3}	3.648999999997404	4.910588264465332	7	17	0.0	
{essunger1994_fig6-user}_{model2_essunger3}	5.002000000000017	6.226181983947754	7	17	0.0	
{essunger1994_fig8}_{model0_essunger6}	4.106500000000132	5.3844451904296875	7	17	0.0	
{ferreira2003_fig2f-user}_{ferreira1_Fig2F}	2.5350000000002355	4.069089889526367	6	29	0.0	
{fisher2006_fig3a}_{fisher1}	3.5285000000001787	4.992961883544922	14	22	0.0	
{fraser2002_fig1a_1b_2a_2b}_{model0_fraser1}	2.1774999999995357	3.3136606216430664	6	8	0.0	
{fraser2002_fig1a_1b_2a_2b}_{model1_fraser2}	2.218500000000147	3.364443778991699	6	8	0.0	
{fuentes2005_fig1a-user}_{model0_fuentes1}	1.4174999999998081	2.5212764739990234	4	4	0.0	
{fung2005_fig3a}_{fung1_Fig3A_Vgly_0_5}	26.910499999997683	28.23638916015625	8	21	0.0	
{gardner1998_fig4b-user}_{gardner1_Fig4B}	2.4049999999997276	3.5822391510009766	5	21	0.0	
{goldbeter1991_fig3-user}_{model0_goldbeter2}	6.422999999996463	7.62784481048584	3	14	0.0	
{goldbeter2006_fig3a-user}_{model0_goldbeter6}	3.369999999999756	4.5768022537231445	3	11	0.0	
{gorlich2003_fig4-user}_{model0_gorlich1}	5.549000000000074	6.814241409301758	13	16	0.0	
{hald2012_fig5-user}_{model0_hald}	788.452499999994	790.7755374908447	31	89	0.0	
{hald2012_fig5-user}_{model1_hald}	791.8820000000046	794.1830158233643	31	89	0.0	
{hatakeyama2003_fig5-user}_{hatakeyama1_Fig5G}	737.8154999999624	740.2005195617676	36	68	0.0	
{hernandezvargas2013}_{model0_esteban2013}	5.693000000000404	6.90305233001709	5	15	0.0	
{ho1995_fig3}_{model1_ho1}	1.161999999999943	2.2258758544921875	1	1	0.0	
{hockin1999_fig7a-user}_{model0_hockin2}	11.425999999997785	12.98677921295166	30	9	0.0	
{hockin2002_fig3-user}_{model0_hockin1}	25.263499999998018	27.051091194152832	34	42	0.0	
{hockin2002_fig3-user}_{model1_hockin1}	25.687499999998863	27.425646781921387	34	42	0.0	
{hockin2002_fig3-user}_{model2_hockin1}	25.7834999999991	27.555227279663086	34	42	0.0	
{hockin2002_fig3-user}_{model3_hockin1}	25.594499999999982	27.350306510925293	34	42	0.0	
{hockin2002_fig3-user}_{model4_hockin1}	25.825999999998032	27.567028999328613	34	42	0.0	
{hockin2002_fig3-user}_{model5_hockin1}	25.693499999998537	27.44150161743164	34	42	0.0	
{hornberg2005_fig2a-user}_{model0_hornberg1}	2.6124999999998115	3.8003921508789062	9	17	0.0	
{ihekwaba2004_fig5-user}_{model0_ihekwaba1}	11.716999999995267	13.467788696289062	26	64	0.0	
{jiang2007_fig2-user}_{model0_jiang1}	597.5894999999837	601.1532545089722	59	306	0.0	
{karin2017_fig1c}_{model22_karin1}	1.4434999999999505	2.552509307861328	2	3	0.0	
{karin2017_fig1g}_{model24_karin3}	1.5775000000001036	2.797842025756836	2	3	0.0	
{karin2017_fig2}_{model0_karin5}	26.381000000002473	28.331398963928223	5	2	0.0	
{kholodenko1999_fig4b-user}_{model0_kholodenko1}	4.702000000001448	6.164193153381348	23	52	0.0	
{kholodenko2000_fig2a-user}_{model0_kholodenko2}	7.433999999998246	8.69762897491455	8	22	0.0	
{kim2011_figs5-user}_{model0_kim5}	13.23000000000062	14.711141586303711	4	14	0.0	
{kirschner1998_fig2-user}_{model0_kirschner}	2.444499999998573	3.5958290100097656	2	8	0.0	
{kofahl2004_fig3-user}_{model0_kofahl}	160.18300000000727	162.2833013534546	37	47	0.0	
{kolodkin2010_figure2b}_{kolodkin1}	2.0500000000000753	3.200054168701172	3	8	0.0	
{kolodkin2010_figure2b}_{kolodkin2}	8.124999999997542	9.320259094238281	6	8	0.0	
{kolodkin2010_figure2b}_{kolodkin3}	8.983999999995376	10.210990905761719	10	17	0.0	
{kolodkin2010_figure2b}_{kolodkin4}	5.462499999996978	6.687045097351074	8	15	0.0	
{kolodkin2010_figure2b}_{kolodkin5}	8.066999999998885	9.280920028686523	8	15	0.0	
{kolodkin2010_figure2b}_{kolodkin6}	10.62299999999685	11.824250221252441	8	15	0.0	
{kouril2017_fig1a}_{model1_kouril4}	1.157500000000626	2.302885055541992	6	7	0.0	
{kouril2017_fig2b}_{model0_kouril5}	1.4164999999997585	2.489924430847168	2	1	0.0	
{kouril2017_fig3b}_{model0_kouril6}	2.1815000000007565	3.3419132232666016	7	10	0.0	
{kouril2017_fig4b}_{model0_kouril7}	3.7474999999999117	5.010843276977539	11	14	0.0	
{kouril2017_fig4c}_{model0_kouril8}	6.881500000000365	8.164763450622559	13	21	0.0	
{kowald2006_fig2-user}_{model0_kowald1}	0.0	26.50618553161621	9	16	-1.0	
{laub1998_fig3top-user}_{model0_laub1}	1.9039999999997388	3.0570030212402344	7	14	0.0	
{lebeda2008_fig1-user-2}_{model0_lebeda2}	1.4550000000000263	2.543807029724121	4	3	0.0	
{lee2010_fig3-user}_{model0_lee4}	22.042499999998846	23.426055908203125	14	22	0.0	
{lee2010_figs6-user}_{model0_lee2}	19.84350000000067	21.125197410583496	9	12	0.0	
{lee2010_figs9-user}_{model0_lee3}	1.4664999999998203	2.552151679992676	4	4	0.0	
{leloup1999_fig2a}_{leloup1_Fig2A}	4.953999999998132	6.539344787597656	10	46	0.0	
{leloup2003_fig2a}_{leloup2_Fig2A}	8.488499999999789	10.547041893005371	16	80	0.0	
{levchenko2000_fig2-user}_{model0_levchenko2}	6.403999999998705	8.048176765441895	31	46	0.0	
{levchenko2000_fig2-user}_{model1_levchenko2}	6.538499999997619	8.237004280090332	31	46	0.0	
{levchenko2000_fig2-user}_{model2_levchenko2}	6.462499999998254	8.130788803100586	31	46	0.0	
{levchenko2000_fig2-user}_{model3_levchenko2}	6.527499999997573	8.172392845153809	31	46	0.0	
{levchenko2000_fig2-user}_{model4_levchenko2}	6.491499999999281	8.18336009979248	31	46	0.0	
{levchenko2000_fig2-user}_{model5_levchenko2}	6.58799999999767	8.228063583374023	31	46	0.0	
{levchenko2000_fig2-user}_{model6_levchenko1}	4.773500000000656	6.172895431518555	22	30	0.0	
{levering2012_fig2-user}_{model1_levering1}	910.455500000051	913.2354259490967	15	66	0.0	
{levering2012_fig5-user}_{model3_levering2}	344.3260000000141	346.77767753601074	25	122	0.0	
{liu2011_fig5a-user}_{model0_liu2}	214.48400000001243	216.79234504699707	42	89	0.0	
{liu2011_fig5a-user}_{model1_liu2}	209.15099999999438	211.34626865386963	42	89	0.0	
{liu2011_fig5a-user}_{model2_liu2}	216.41000000000463	218.64056587219238	42	89	0.0	
{lou2009_fig2-user}_{lou1}	1.4375000000001923	2.562403678894043	6	12	0.0	
{ma2002_fig2-user}_{model0_ma}	2.06249999999873	3.2428503036499023	7	14	0.0	
{marhl2000_fig2-user}_{model0_marhl}	11.91199999999759	13.377904891967773	5	11	0.0	
