model	average
{Bungay2003}	0.5020947100440125
{Bungay2003}	0.46592288729622783
{Bungay2003}	0.457490417536582
{Bungay2003}	0.4268916776058645
{Bungay2003}	0.8944689332717861
{Bungay2003}	0.8796090128586537
{Bungay2003}	0.8760361831592882
{Bungay2003}	0.8617630332337287
{Bungay2003}	0.93042042932957
{Bungay2003}	0.9202325851245609
{Bungay2003}	0.9177846961596281
{Bungay2003}	0.9078853702071648
{Bungay2003}	0.9053098381696708
{Bungay2003}	0.8918442619441114
{Bungay2003}	0.8885867854280699
{Bungay2003}	0.875572434130628
{Bungay2003}	0.9431617516637347
{Bungay2003}	0.9347650593165452
{Bungay2003}	0.9327427895969888
{Bungay2003}	0.924544658459967
{Bungay2003}	0.6324141516167148
{Bungay2003}	0.5982930283446602
{Bungay2003}	0.5904757617586842
{Bungay2003}	0.5607003571587683
{Bungay2003}	0.9358043825343163
{Bungay2003}	0.9263467675598669
{Bungay2003}	0.9240725241616008
{Bungay2003}	0.9148636664095672
{Bungay2003}	0.9582575299948376
{Bungay2003}	0.95198945539948
{Bungay2003}	0.9504849395893484
{Bungay2003}	0.9443451303042631
{Bungay2003}	0.9426200954621214
{Bungay2003}	0.9341394725999161
{Bungay2003}	0.9320870618549821
{Bungay2003}	0.9237899689867893
{Bungay2003}	0.9660425558944913
{Bungay2003}	0.9609359809851213
{Bungay2003}	0.9597070431845478
{Bungay2003}	0.9546901077258393
{Bungay2006}	0.48307650210777187
{Bungay2006}	0.44702431131568
{Bungay2006}	0.43860347053048854
{Bungay2006}	0.4082496103048067
{Bungay2006}	0.8869885963436039
{Bungay2006}	0.8712364508533628
{Bungay2006}	0.8674434265997853
{Bungay2006}	0.8523419926158393
{Bungay2006}	0.9252753746864257
{Bungay2006}	0.914408848664556
{Bungay2006}	0.9117925619718359
{Bungay2006}	0.9012426523354098
{Bungay2006}	0.8985066032819953
{Bungay2006}	0.8842047268708896
{Bungay2006}	0.8807395796746306
{Bungay2006}	0.8669395251890417
{Bungay2006}	0.9388967031918561
{Bungay2006}	0.9299206970199961
{Bungay2006}	0.9277542260779851
{Bungay2006}	0.9189945413276526
{Bungay2006}	0.614610440137048
{Bungay2006}	0.5799198816860476
{Bungay2006}	0.5719511621636014
{Bungay2006}	0.5417987988832227
{Bungay2006}	0.9310283563381674
{Bungay2006}	0.9209314507608797
{Bungay2006}	0.9184984078140334
{Bungay2006}	0.9086738961888925
{Bungay2006}	0.9550719067028189
{Bungay2006}	0.9483543265152068
{Bungay2006}	0.946738062489206
{Bungay2006}	0.9401579656767727
{Bungay2006}	0.9383156179600922
{Bungay2006}	0.9292505811625223
{Bungay2006}	0.927052115472863
{Bungay2006}	0.9181878080931057
{Bungay2006}	0.9634281095392777
{Bungay2006}	0.9579479027315602
{Bungay2006}	0.956625834856709
{Bungay2006}	0.9512406175717526
{Bungay2006a}	0.566704160384025
{Bungay2006a}	0.5308894280073596
{Bungay2006a}	0.522608968666784
{Bungay2006a}	0.4918469315359352
{Bungay2006a}	0.9168337810021845
{Bungay2006a}	0.9047630571400374
{Bungay2006a}	0.9018786371640088
{Bungay2006a}	0.8902266844654397
{Bungay2006a}	0.9456301006417482
{Bungay2006a}	0.9375056731556952
{Bungay2006a}	0.9355684958446449
{Bungay2006a}	0.9276601100636612
{Bungay2006a}	0.9255794707428262
{Bungay2006a}	0.9147051882313798
{Bungay2006a}	0.912091043033046
{Bungay2006a}	0.9015373352997806
{Bungay2006a}	0.9557198478860105
{Bungay2006a}	0.9490677564712495
{Bungay2006a}	0.9474784010399174
{Bungay2006a}	0.9409793084346717
{Bungay2006a}	0.6903995678401934
{Bungay2006a}	0.6587817849090274
{Bungay2006a}	0.6516103457106371
{Bungay2006a}	0.6236790746830936
{Bungay2006a}	0.9498994196851939
{Bungay2006a}	0.9423777707780769
{Bungay2006a}	0.94058310450382
{Bungay2006a}	0.9332494552163391
{Bungay2006a}	0.967593419119802
{Bungay2006a}	0.9626646500357262
{Bungay2006a}	0.96149174271249
{Bungay2006a}	0.9566671458502181
{Bungay2006a}	0.9552958413978763
{Bungay2006a}	0.9485758596787487
{Bungay2006a}	0.9469622158710916
{Bungay2006a}	0.9403823686146523
{Bungay2006a}	0.9736859907649371
{Bungay2006a}	0.9696864914928723
{Bungay2006a}	0.9687323138206256
{Bungay2006a}	0.9648082849435171
{Eungdamrong2007}	0.673175394892177
{Eungdamrong2007}	0.6404136562805292
{Eungdamrong2007}	0.6329274488989068
{Eungdamrong2007}	0.6040950480648921
{Eungdamrong2007}	0.9455713542489323
{Eungdamrong2007}	0.9373054612268316
