model	error_rate	num_x	num_r	num_p	p_n	p_l	p_q	p_p	p_e	p_L	p_Q	p_P	p_E	p_o	combinations	value
{Froehlich2018}	0	1396	2686	4704	0	1	0.03611317944899479	0	0	0	0	0	0	0	2_9_10_14	0
{Froehlich2018}	0	1396	2686	4704	0	1	0.03611317944899479	0	0	0	0	0	0	0	2_9_12_10	0
{Froehlich2018}	0	1396	2686	4704	0	1	0.03611317944899479	0	0	0	0	0	0	0	2_9_16_08	0
{Holzhutter2004}	0	45	38	166	0	1	0.02631578947368421	0	0	0.6052631578947368	0.07894736842105263	0.05263157894736842	0	0.05263157894736842	1_1_08_06	0
{Holzhutter2004}	0	45	38	166	0	1	0.02631578947368421	0	0	0.6052631578947368	0.07894736842105263	0.05263157894736842	0	0.05263157894736842	1_1_10_14	0
{Holzhutter2004}	0	45	38	166	0	1	0.02631578947368421	0	0	0.6052631578947368	0.07894736842105263	0.05263157894736842	0	0.05263157894736842	1_1_12_10	0
{Holzhutter2004}	0	45	38	166	0	1	0.02631578947368421	0	0	0.6052631578947368	0.07894736842105263	0.05263157894736842	0	0.05263157894736842	1_1_16_08	0
{Holzhutter2004}	0	45	38	166	0	1	0.02631578947368421	0	0	0.6052631578947368	0.07894736842105263	0.05263157894736842	0	0.05263157894736842	1_6_08_06	0
{Holzhutter2004}	0	45	38	166	0	1	0.02631578947368421	0	0	0.6052631578947368	0.07894736842105263	0.05263157894736842	0	0.05263157894736842	1_6_10_14	0
{Holzhutter2004}	0	45	38	166	0	1	0.02631578947368421	0	0	0.6052631578947368	0.07894736842105263	0.05263157894736842	0	0.05263157894736842	1_6_12_10	0
{Holzhutter2004}	0	45	38	166	0	1	0.02631578947368421	0	0	0.6052631578947368	0.07894736842105263	0.05263157894736842	0	0.05263157894736842	1_6_16_08	0
{Holzhutter2004}	0	45	38	166	0	1	0.02631578947368421	0	0	0.6052631578947368	0.07894736842105263	0.05263157894736842	0	0.05263157894736842	1_7_08_06	0
{Holzhutter2004}	0	45	38	166	0	1	0.02631578947368421	0	0	0.6052631578947368	0.07894736842105263	0.05263157894736842	0	0.05263157894736842	1_7_10_14	0
{Holzhutter2004}	0	45	38	166	0	1	0.02631578947368421	0	0	0.6052631578947368	0.07894736842105263	0.05263157894736842	0	0.05263157894736842	1_7_12_10	0
{Holzhutter2004}	0	45	38	166	0	1	0.02631578947368421	0	0	0.6052631578947368	0.07894736842105263	0.05263157894736842	0	0.05263157894736842	1_7_16_08	0
{Holzhutter2004}	0	45	38	166	0	1	0.02631578947368421	0	0	0.6052631578947368	0.07894736842105263	0.05263157894736842	0	0.05263157894736842	1_8_08_06	0
{Holzhutter2004}	0	45	38	166	0	1	0.02631578947368421	0	0	0.6052631578947368	0.07894736842105263	0.05263157894736842	0	0.05263157894736842	1_8_10_14	0
{Holzhutter2004}	0	45	38	166	0	1	0.02631578947368421	0	0	0.6052631578947368	0.07894736842105263	0.05263157894736842	0	0.05263157894736842	1_8_12_10	0
{Holzhutter2004}	0	45	38	166	0	1	0.02631578947368421	0	0	0.6052631578947368	0.07894736842105263	0.05263157894736842	0	0.05263157894736842	1_8_16_08	0
{Holzhutter2004}	0	45	38	166	0	1	0.02631578947368421	0	0	0.6052631578947368	0.07894736842105263	0.05263157894736842	0	0.05263157894736842	1_9_08_06	0
{Holzhutter2004}	0	45	38	166	0	1	0.02631578947368421	0	0	0.6052631578947368	0.07894736842105263	0.05263157894736842	0	0.05263157894736842	1_9_10_14	0
{Holzhutter2004}	0	45	38	166	0	1	0.02631578947368421	0	0	0.6052631578947368	0.07894736842105263	0.05263157894736842	0	0.05263157894736842	1_9_12_10	0
{Holzhutter2004}	0	45	38	166	0	1	0.02631578947368421	0	0	0.6052631578947368	0.07894736842105263	0.05263157894736842	0	0.05263157894736842	1_9_16_08	0
{Holzhutter2004}	0	45	38	166	0	1	0.02631578947368421	0	0	0.6052631578947368	0.07894736842105263	0.05263157894736842	0	0.05263157894736842	2_1_08_06	0
{Holzhutter2004}	0	45	38	166	0	1	0.02631578947368421	0	0	0.6052631578947368	0.07894736842105263	0.05263157894736842	0	0.05263157894736842	2_1_10_14	0
{Holzhutter2004}	0	45	38	166	0	1	0.02631578947368421	0	0	0.6052631578947368	0.07894736842105263	0.05263157894736842	0	0.05263157894736842	2_1_12_10	0
{Holzhutter2004}	0	45	38	166	0	1	0.02631578947368421	0	0	0.6052631578947368	0.07894736842105263	0.05263157894736842	0	0.05263157894736842	2_1_16_08	0
{Holzhutter2004}	0	45	38	166	0	1	0.02631578947368421	0	0	0.6052631578947368	0.07894736842105263	0.05263157894736842	0	0.05263157894736842	2_6_08_06	0
{Holzhutter2004}	0	45	38	166	0	1	0.02631578947368421	0	0	0.6052631578947368	0.07894736842105263	0.05263157894736842	0	0.05263157894736842	2_6_10_14	0
