observableId	preequilibrationConditionId	simulationConditionId	measurment	time	observableParameters	noiseParameters	observableTransformation	noiseDistribution
BaF3-EpoR			2.4997	0	NaN			
BaF3-EpoR			1.9547	1	NaN			
BaF3-EpoR			8.284	5	NaN			
BaF3-EpoR			21.9453	8	NaN			
BaF3-EpoR			21.8	10	NaN			
BaF3-EpoR			21.582	12	NaN			
BaF3-EpoR			17.44	14	NaN			
BaF3-EpoR			13.6613	16	NaN			
BaF3-EpoR			12.862	18	NaN			
BaF3-EpoR			11.4813	20	NaN			
BaF3-EpoR			10.6093	25	NaN			
BaF3-EpoR			8.2113	30	NaN			
BaF3-EpoR			10.7547	35	NaN			
BaF3-EpoR			8.284	40	NaN			
BaF3-EpoR			6.3511	45	NaN			
BaF3-EpoR			5.2247	50	NaN			
BaF3-EpoR			5.1303	55	NaN			
BaF3-EpoR			5.6317	60	NaN			
CFU-E			24.499	0	NaN			
CFU-E			61.5822	1	NaN			
CFU-E			170.0203	5	NaN			
CFU-E			139.6755	8	NaN			
CFU-E			220	10	NaN			
CFU-E			168.2353	12	NaN			
CFU-E			138.783	14	NaN			
CFU-E			144.5842	16	NaN			
CFU-E			197.6876	18	NaN			
CFU-E			140.568	20	NaN			
CFU-E			164.6653	25	NaN			
CFU-E			151.7241	30	NaN			
CFU-E			145.0304	35	NaN			
CFU-E			116.4706	40	NaN			
CFU-E			115.5781	45	NaN			
CFU-E			127.6268	50	NaN			
CFU-E			87.9108	55	NaN			
CFU-E			68.2759	60	NaN			
